Date,Chrome,IE/Edge,Firefox,Safari,Opera
Jun-17,76.30,4.60,13.30,3.30,1.20
May-17,75.80,4.60,13.60,3.40,1.10
Apr-17,75.70,4.60,13.60,3.70,1.10
Mar-17,75.10,4.80,14.10,3.60,1.00
Feb-17,74.10,4.80,15.00,3.60,1.00
Jan-17,73.70,4.90,15.40,3.60,1.00
Dec-16,73.70,4.80,15.50,3.50,1.10
Nov-16,73.80,5.20,15.30,3.50,1.10
Oct-16,73.00,5.20,15.70,3.60,1.10
Sep-16,72.50,5.30,16.30,3.50,1.00
Aug-16,72.40,5.20,16.80,3.20,1.10
Jul-16,71.90,5.20,17.10,3.20,1.10
Jun-16,71.70,5.60,17.00,3.30,1.10
May-16,71.40,5.70,16.90,3.60,1.20
Apr-16,70.40,5.80,17.50,3.70,1.30
Mar-16,69.90,6.10,17.80,3.60,1.30
Feb-16,69.00,6.20,18.60,3.70,1.30
Jan-16,68.40,6.20,18.80,3.70,1.40
Dec-15,68.00,6.30,19.10,3.70,1.50
Nov-15,67.40,6.80,19.20,3.90,1.50
Oct-15,66.50,6.90,20.00,3.80,1.40
Sep-15,65.90,7.20,20.60,3.60,1.40
Aug-15,64.00,6.60,21.20,4.50,2.20
Jul-15,63.30,6.50,21.60,4.90,2.50
Jun-15,64.80,7.10,21.30,3.80,1.80
May-15,64.90,7.10,21.50,3.80,1.60
Apr-15,63.90,8.00,21.60,3.80,1.50
Mar-15,63.70,7.70,22.10,3.90,1.50
Feb-15,62.50,8.00,22.90,3.90,1.50
Jan-15,61.90,7.80,23.40,3.80,1.60
Dec-14,61.60,8.00,23.60,3.70,1.60
Nov-14,60.10,9.80,23.40,3.70,1.60
Oct-14,60.40,9.50,23.40,3.90,1.60
Sep-14,59.60,9.90,24.00,3.60,1.60
Aug-14,60.10,8.30,24.70,3.70,1.80
Jul-14,59.80,8.50,24.90,3.50,1.70
Jun-14,59.30,8.80,25.10,3.70,1.80
May-14,59.20,8.90,24.90,3.80,1.80
Apr-14,58.40,9.40,25.00,4.00,1.80
Mar-14,57.50,9.70,25.60,3.90,1.80
Feb-14,56.40,9.80,26.40,4.00,1.90
Jan-14,55.70,10.20,26.90,3.90,1.80
Dec-13,55.80,9.00,26.80,3.80,1.90
Nov-13,54.80,10.50,26.80,4.00,1.80
Oct-13,54.10,11.70,27.20,3.80,1.70
Sep-13,53.20,12.10,27.80,3.90,1.70
Aug-13,52.90,11.80,28.20,3.90,1.80
Jul-13,52.80,11.80,28.90,3.60,1.60
Jun-13,52.10,12.00,28.90,3.90,1.70
May-13,52.90,12.60,27.70,4.00,1.60
Apr-13,52.70,12.70,27.90,4.00,1.70
Mar-13,51.70,13.00,28.50,4.10,1.80
Feb-13,50.00,13.50,29.60,4.10,1.80
Jan-13,48.40,14.30,30.20,4.20,1.90
Dec-12,46.90,14.70,31.10,4.20,2.10
Nov-12,46.30,15.10,31.20,4.40,2.00
Oct-12,44.90,16.10,31.80,4.30,2.00
Sep-12,44.10,16.40,32.20,4.20,2.10
Aug-12,43.70,16.20,32.80,4.00,2.20
Jul-12,42.90,16.30,33.70,3.90,2.10
Jun-12,41.70,16.70,34.40,4.10,2.20
May-12,39.30,18.10,35.20,4.30,2.20
Apr-12,38.30,18.30,35.80,4.50,2.30
Mar-12,37.30,18.90,36.30,4.40,2.30
