Index,Model 01,Survey 01,PUMA 01,Category
1 Person HH,1101471,951578,1075934,size
2 Person HH,1140295,1078315,1173104,size
3 Person HH,625110,594378,607813,size
4 Person HH,609070,557790,554243,size
5+ Person HH,369435,505495,458689,size
0 - vehicles,351389,359997,434552,veh
1 - vehicle,1287104,1192956,1362074,veh
2 - vehicles,1476870,1509074,1424204,veh
3 - vehicles,538067,462777,466352,veh
4 or more vehicles,191951,162752,182601,veh
0-30K,894383,1106402,998137,income
30K-60K,1093581,828599,1009578,income
60K-100K,1034862,859770,922951,income
100K+,822555,597686,939117,income
,,,,
,,,,
,,,,
