Index,Auto_Model,Truck_Model,Auto_obs,Truck_obs
I-190,257150,9897,188485,9918
I-290,5775191,705992,5339887,396793
I-294 N of I-290 (toll),2929715,291604,2801814,257636
I-294 S of I-290 & I-80/294 (toll),3631056,436437,3170388,621979
I-355 (toll),2912826,247285,2704792,278332
I-55 E of I-355,3166016,384211,3164364,304808
I-55 W of I-355,2758991,535536,2206610,301303
I-57,2854565,285407,2732835,155529
I-80 & I-80/I-94,3217603,828596,2787491,601497
I-88 & I-88/294 (toll),4213896,288663,2920580,215740
I-90 E of IL-31 (toll),2717987,100567,2553011,187914
I-90 Skyway,2120800,65326,1730646,59835
I-90 W of IL-31 (toll),3178680,99109,1175080,202921
I-90/94,4321857,390789,3871531,26983
I-94,4742510,724221,4354766,356340
I-94 (toll),4970387,356258,2285368,460190
