Index,Auto,Truck,order
I-190,188485,9918,16
I-290,5339887,396793,1
I-294 N of I-290 (toll),2801814,257636,10
I-294 S of I-290 & I-80/294 (toll),3170388,621979,6
I-355 (toll),2704792,278332,11
I-55 E of I-355,3164364,304808,9
I-55 W of I-355,2206610,301303,13
I-57,2732835,155529,12
I-80 & I-80/I-94,2787491,601497,7
I-88 & I-88/294 (toll),2920580,215740,5
I-90 E of IL-31 (toll),2553011,187914,14
I-90 Skyway,1730646,59835,15
I-90 W of IL-31 (toll),1175080,202921,8
I-90/94,3871531,26983,4
I-94,4354766,356340,3
I-94 (toll),2285368,460190,2
