Vrange,Number of Links,Observed VMT,Model VMT,Percent Diff
0.0,738,756456.4962155186,1116125.8545567663,0.4754660183905355
10000.0,1217,9722397.985431833,11763789.311493801,0.2099678833473815
20000.0,581,10525169.01201997,12850853.326440586,0.2209640825496135
30000.0,208,5418250.47424864,6177407.388894257,0.14011107796763322
40000.0,166,4861842.474458367,4984027.84224002,0.025131494577118142
50000.0,149,6657242.457980849,5389786.335914277,-0.19038755611899308
60000.0,227,8448160.967631266,6736313.685132765,-0.20262957690524167
70000.0,208,9691986.50789298,7777252.0301269265,-0.19755851663709287
80000.0,143,7952639.010350406,6120636.494113217,-0.23036409849017755
90000.0,85,4626225.486341585,3880385.746666567,-0.16121992796871365
100000.0,151,4287781.010174751,3502293.2656282634,-0.18319213194017
Total,3873,72948151.88274617,70298871.2812074,-0.03631730939252746
