MainGroup,StackGroup,SubGroup,Value
Work,Individual,Mod,3634500
Shopping,Individual,Mod,1632195
School,Individual,Mod,1556770
Discretionary,Individual,Mod,1539055
Maintenance,Individual,Mod,1387860
Escorting,Individual,Mod,1339795
Social/Visit,Individual,Mod,730280
Eat Out,Individual,Mod,510135
Shopping,Joint,Mod,332810
Discretionary,Joint,Mod,257030
Maintenance,Joint,Mod,210170
University,Individual,Mod,141390
Eat Out,Joint,Mod,105090
Social/Visit,Joint,Mod,97945
Work,Joint,Mod,0
University,Joint,Mod,0
School,Joint,Mod,0
Escorting,Joint,Mod,0
Work,Individual,Obs,4112680.064
School,Individual,Obs,1541459.149
Escorting,Individual,Obs,1216488.892
Shopping,Individual,Obs,1027902.629
Maintenance,Individual,Obs,917179.1599
Discretionary,Individual,Obs,864405.5131
Social/Visit,Individual,Obs,476344.8486
Shopping,Joint,Obs,296422.2853
Discretionary,Joint,Obs,250988.1517
Eat Out,Individual,Obs,213616.4132
University,Individual,Obs,195955.1315
Maintenance,Joint,Obs,190285.8318
Eat Out,Joint,Obs,106691.3023
Social/Visit,Joint,Obs,92831.10182
Work,Joint,Obs,0
University,Joint,Obs,0
School,Joint,Obs,0
Escorting,Joint,Obs,0
