MainGroup,SubGroup,yValue,xValue,magnitude
Children,Observed,1,1045944.72,0
Children,Observed,2,961346.25,0
Children,Observed,3,676787.76,0
Children,Observed,1,19226.925,1
Children,Observed,2,422992.35,1
Children,Observed,3,273022.335,1
Children,Observed,1,161506.17,2
Children,Observed,2,226877.715,2
Children,Observed,3,57680.775,2
Children,Modeled,1,1053635.49,0
Children,Modeled,2,1019027.025,0
Children,Modeled,3,461446.2,0
Children,Modeled,1,34608.465,1
Children,Modeled,2,323012.34,1
Children,Modeled,3,173042.325,1
Children,Modeled,1,30763.08,2
Children,Modeled,2,592189.29,2
Children,Modeled,3,0,2
