Index,Model 01,Survey 01,Category,Description,Title,Portion
Work,5940075,5584090,All,temp1,All,100.0%
Work,4785185,4800481,Full-time Worker,temp1,Full-time Worker,44.0%
Shop,3947315,3626331,All,temp1,All,100.0%
Escort,3767495,3828356,All,temp1,All,100.0%
Maintenance,2987325,3404628,All,temp1,All,100.0%
School,2672310,2490702,All,temp1,All,100.0%
Discretionary,2266170,2163556,All,temp1,All,100.0%
School,1853300,1733704,Student under 16 years,temp1,Student under 16 years,13.1%
Escort,1631880,1409577,Full-time Worker,temp1,Full-time Worker,44.0%
Eating Out,1549380,1574491,All,temp1,All,100.0%
Shop,1489955,1349377,Full-time Worker,temp1,Full-time Worker,44.0%
Visiting,1308115,1402134,All,temp1,All,100.0%
Work-based,1158190,956229,All,temp1,All,100.0%
Maintenance,986585,1260043,Full-time Worker,temp1,Full-time Worker,44.0%
Work-based,939770,829188,Full-time Worker,temp1,Full-time Worker,44.0%
Shop,931990,869350,Non worker,temp1,Non worker,13.3%
Work,928130,620723,Part-time Worker,temp1,Part-time Worker,10.0%
Escort,901380,914298,Non worker,temp1,Non worker,13.3%
Maintenance,750415,772641,Non worker,temp1,Non worker,13.3%
Discretionary,714115,628272,Full-time Worker,temp1,Full-time Worker,44.0%
Shop,570235,603409,Non-working senior,temp1,Non-working senior,7.9%
Eating Out,549905,781093,Full-time Worker,temp1,Full-time Worker,44.0%
Maintenance,516125,540782,Non-working senior,temp1,Non-working senior,7.9%
School,501610,399626,Student 16+,temp1,Student 16+,3.3%
Discretionary,498995,416146,Student under 16 years,temp1,Student under 16 years,13.1%
Escort,419405,434679,Part-time Worker,temp1,Part-time Worker,10.0%
University,394485,331385,All,temp1,All,100.0%
Shop,386985,425986,Part-time Worker,temp1,Part-time Worker,10.0%
Discretionary,385505,292959,Non-working senior,temp1,Non-working senior,7.9%
University,362060,251666,University Student,temp1,University Student,3.6%
Visiting,354810,255616,Non worker,temp1,Non worker,13.3%
School,317400,357372,Preschool,temp1,Preschool,4.7%
Visiting,310325,380009,Full-time Worker,temp1,Full-time Worker,44.0%
