Index, Model 01 , Survey 01 ,Category,Description,Title
Work,5940075,5370298,All,work All,All
Shop,5853935,5372465,All,shop All,All
Maintenance,4217855,4478338,All,maintenance All,All
Escort,3767495,3929479,All,escort All,All
Discretionary,3413480,3235278,All,discretionary All,All
School,2672310,2478180,All,school All,All
Eating Out,2436550,2422624,All,eatingout All,All
Shop,2028325,1601843,2.5-5 Mile,shop 2.5-5 Mile,2.5-5 Mile
Visiting,1958215,1830362,All,visiting All,All
Shop,1627975,1764030,Less than 2.5 Mile,shop Less than 2.5 Mile,Less than 2.5 Mile
Work,1512125,1300355,5-10 Miles,work 5-10 Miles,5-10 Miles
Maintenance,1394120,1273781,2.5-5 Mile,maintenance 2.5-5 Mile,2.5-5 Mile
Shop,1379060,1243497,5-10 Miles,shop 5-10 Miles,5-10 Miles
School,1294360,1137568,Less than 2.5 Mile,school Less than 2.5 Mile,Less than 2.5 Mile
Work,1245820,686536,Less than 2.5 Mile,work Less than 2.5 Mile,Less than 2.5 Mile
Discretionary,1232635,940962,2.5-5 Mile,discretionary 2.5-5 Mile,2.5-5 Mile
Escort,1195090,1092148,2.5-5 Mile,escort 2.5-5 Mile,2.5-5 Mile
Work,1190835,864318,2.5-5 Mile,work 2.5-5 Mile,2.5-5 Mile
Work-based,1158190,863294,All,work-based All,All
Maintenance,1144260,1083986,5-10 Miles,maintenance 5-10 Miles,5-10 Miles
Escort,1118715,1494705,Less than 2.5 Mile,escort Less than 2.5 Mile,Less than 2.5 Mile
Discretionary,1071600,1018239,Less than 2.5 Mile,discretionary Less than 2.5 Mile,Less than 2.5 Mile
Maintenance,984370,1264055,Less than 2.5 Mile,maintenance Less than 2.5 Mile,Less than 2.5 Mile
Work,863390,838733,10-15 Miles,work 10-15 Miles,10-15 Miles
Escort,860480,741222,5-10 Miles,escort 5-10 Miles,5-10 Miles
School,838940,684619,2.5-5 Mile,school 2.5-5 Mile,2.5-5 Mile
Eating Out,814845,730820,2.5-5 Mile,eatingout 2.5-5 Mile,2.5-5 Mile
Eating Out,687415,749325,Less than 2.5 Mile,eatingout Less than 2.5 Mile,Less than 2.5 Mile
Discretionary,637785,719940,5-10 Miles,discretionary 5-10 Miles,5-10 Miles
