Index, Model , Survey ,Category,Description,Title
Kankakee,0.337428397,1.250059868,Kankakee,Kankakee,Kankakee Daily VMT
Grundy,1.350019682,0.895466438,Grundy,Grundy,Grundy Daily VMT
LaPorte,1.373018525,2.070914079,LaPorte,LaPorte,LaPorte Daily VMT
Kendall,1.532017974,1.012720939,Kendall,Kendall,Kendall Daily VMT
Boone,1.555596562,0.704898773,Boone,Boone,Boone Daily VMT
Racine,1.662200692,1.875805961,Racine,Racine,Racine Daily VMT
Walworth,1.883316347,1.435931737,Walworth,Walworth,Walworth Daily VMT
Porter,1.916176253,3.682371506,Porter,Porter,Porter Daily VMT
DeKalb,2.108802292,1.147372137,DeKalb,DeKalb,DeKalb Daily VMT
Kenosha,2.604807813,1.735909155,Kenosha,Kenosha,Kenosha Daily VMT
Winnebago,3.494972629,3.135335204,Winnebago,Winnebago,Winnebago Daily VMT
McHenry,4.665483048,2.976450414,McHenry,McHenry,McHenry Daily VMT
LakeIN,6.347751358,7.423621393,"Lake, IN","Lake, IN","Lake, IN Daily VMT"
Kane,6.359163487,4.930079827,Kane,Kane,Kane Daily VMT
Will,8.104594337,7.638357632,Will,Will,Will Daily VMT
Lake,8.665462904,7.287443924,Lake,Lake,Lake Daily VMT
DuPage,10.32175982,10.84337301,DuPage,DuPage,DuPage Daily VMT
Cook,35.71742788,39.95388801,Cook,Cook,Cook Daily VMT
