Index,Auto,Truck,Cat
I-190,257150,9897,Model
I-290,5775191,705992,Model
I-294 N of I-290 (toll),2929715,291604,Model
I-294 S of I-290 & I-80/294 (toll),3631056,436437,Model
I-355 (toll),2912826,247285,Model
I-55 E of I-355,3166016,384211,Model
I-55 W of I-355,2758991,535536,Model
I-57,2854565,285407,Model
I-80 & I-80/I-94,3217603,828596,Model
I-88 & I-88/294 (toll),4213896,288663,Model
I-90 E of IL-31 (toll),2717987,100567,Model
I-90 Skyway,2120800,65326,Model
I-90 W of IL-31 (toll),3178680,99109,Model
I-90/94,4321857,390789,Model
I-94,4742510,724221,Model
I-94 (toll),4970387,356258,Model
I-190,188485,9918,Survey
I-290,5339887,396793,Survey
I-294 N of I-290 (toll),2801814,257636,Survey
I-294 S of I-290 & I-80/294 (toll),3170388,621979,Survey
I-355 (toll),2704792,278332,Survey
I-55 E of I-355,3164364,304808,Survey
I-55 W of I-355,2206610,301303,Survey
I-57,2732835,155529,Survey
I-80 & I-80/I-94,2787491,601497,Survey
I-88 & I-88/294 (toll),2920580,215740,Survey
I-90 E of IL-31 (toll),2553011,187914,Survey
I-90 Skyway,1730646,59835,Survey
I-90 W of IL-31 (toll),1175080,202921,Survey
I-90/94,3871531,26983,Survey
I-94,4354766,356340,Survey
I-94 (toll),2285368,460190,Survey
