Index,Auto,Truck,order
I-190,240623.8281,12503.69152,16
I-290,4360205.82,846772.3631,1
I-294 N of I-290 (toll),2023651.083,267580.7046,10
I-294 S of I-290 & I-80/294 (toll),2088486.738,440239.7949,6
I-355 (toll),2157928.897,214939.6065,11
I-55 E of I-355,2501087.401,460138.6622,9
I-55 W of I-355,1868640.784,626474.7129,13
I-57,1731310.336,364221.4149,12
I-80 & I-80/I-94,1910182.77,949723.2645,7
I-88 & I-88/294 (toll),2494155.262,247960.2571,5
I-90 E of IL-31 (toll),1856550.196,141155.6323,14
I-90 Skyway,1363731.262,78589.95358,15
I-90 W of IL-31 (toll),1148771.751,207734.2596,8
I-90/94,3126414.444,516329.212,4
I-94,3197754.51,955508.5206,3
I-94 (toll),2855817.403,372606.9398,2
