Index,Auto,Truck,order
I-190,218962.2096370984,12308.010734453224,16
I-290,4125122.410011431,841908.5718508714,1
I-294 N of I-290 (toll),1950747.402762768,263762.542739548,10
I-294 S of I-290 & I-80/294 (toll),2065505.0731186168,429026.7285959868,6
I-355 (toll),2091266.7105386097,209920.4593808032,11
I-55 E of I-355,2326450.3637931864,458971.3575111986,9
I-55 W of I-355,1795260.461355141,618835.7298392697,13
I-57,1650548.4685264186,358668.993816308,12
I-80 & I-80/I-94,1897171.5333214197,951553.402586818,7
I-88 & I-88/294 (toll),2375588.0882583773,237776.34650302515,5
I-90 Skyway,1316154.830349423,79591.5849829526,15
I-90/94,2952648.7556878594,514231.2222707914,4
I-90 E of IL-31 (toll),1766560.5806765682,134198.87555576302,14
I-90 W of IL-31 (toll),1146613.6709771156,197421.14706135934,8
I-94,3029996.49401668,956107.3355165728,3
I-94 (toll),2720887.722526482,366006.9537451194,2
