Vrange,Weight (Miles),Links,AADT,Model Volumes,rmse,%rmse
0,5574.812782,10062,2379.399821,5641.616045,4294.383003,1.804817738
10000,3594.196481,10574,8731.52768,12904.88496,6268.961049,0.71796841
20000,1197.500414,1905,18493.07139,27621.85279,26869.38481,1.452943334
30000,202.1811953,267,30491.93744,47714.19325,37498.29226,1.229777292
40000,150.8354959,145,39284.1916,57383.95941,30940.91206,0.78761738
50000,151.6538963,141,50598.31572,65487.66108,23067.10294,0.455886774
60000,203.544898,227,60048.05601,68672.88592,20491.99881,0.341259987
70000,175.9146008,208,69998.45802,79400.99133,18614.64917,0.265929417
80000,121.1918997,135,79594.0546,83579.76478,15671.27677,0.196890042
90000,54.41399991,75,88723.90302,98871.17704,22526.26534,0.253891731
100000,15.33190002,151,111457.7853,119213.232,6649.36661,0.059658162
