MainGroup,StackGroup,SubGroup,Value
work,Individual,Obs,3287782.6
university,Individual,Obs,136690.1
school,Individual,Obs,1358046.8
escort,Individual,Obs,1163386
shop,Individual,Obs,937195.3
maintenance,Individual,Obs,859147.4
eatingout,Individual,Obs,215149.4
visiting,Individual,Obs,470866.4
discretionary,Individual,Obs,864240.9
shop,Joint,Obs,288747.55
maintenance,Joint,Obs,176931.42
eatingout,Joint,Obs,100051.92
visiting,Joint,Obs,93927.75
discretionary,Joint,Obs,224983.47
work,Joint,Obs,0
university,Joint,Obs,0
school,Joint,Obs,0
escort,Joint,Obs,0
work,Individual,Mod,3423750
university,Individual,Mod,190415
school,Individual,Mod,1513725
escort,Individual,Mod,1020205
shop,Individual,Mod,1050650
maintenance,Individual,Mod,986695
eatingout,Individual,Mod,298450
visiting,Individual,Mod,459250
discretionary,Individual,Mod,826045
work,Joint,Mod,0
university,Joint,Mod,0
school,Joint,Mod,0
escort,Joint,Mod,0
shop,Joint,Mod,973125
maintenance,Joint,Mod,622650
eatingout,Joint,Mod,457415
visiting,Joint,Mod,332530
discretionary,Joint,Mod,578895
