Index, Model , Survey ,Category,Description,Title
BNSF,65757.12959,54686,BNSF,BNSF,BNSF boardings
HC,3652.256836,2421,HC,HC,HC boardings
MD-N,13849.02327,23257,MD-N,MD-N,MD-N boardings
MD-W,15356.83635,21721,MD-W,MD-W,MD-W boardings
ME,19832.64072,29313,ME,ME,ME boardings
NCS,3036.077162,6416,NCS,NCS,NCS boardings
RI,17873.17659,27649,RI,RI,RI boardings
SWS,8067.134688,9066,SWS,SWS,SWS boardings
UP North,38628.01199,28181,UP-N,UP-N,UP North boardings
UP-NW,29229.02387,35982,UP-NW,UP-NW,UP-NW boardings
UP-W,32857.04599,27196,UP-W,UP-W,UP-W boardings
