RESIDENCE,WORKPLACE,id,Model,CTPP
Boone,Boone,BooneBoone,7650,8025
Boone,Cook,BooneCook,1035,1540
Boone,DeKalb,BooneDeKalb,630,425
Boone,DuPage,BooneDuPage,60,605
Boone,Grundy,BooneGrundy,0,0
Boone,Kane,BooneKane,435,1150
Boone,Kankakee,BooneKankakee,0,0
Boone,Kendall,BooneKendall,5,0
Boone,Lake,BooneLake,165,95
Boone,LaSalle,BooneLaSalle,0,0
Boone,Lee,BooneLee,0,65
Boone,McHenry,BooneMcHenry,1705,2465
Boone,Ogle,BooneOgle,15,90
Boone,Will,BooneWill,0,105
Boone,Winnebago,BooneWinnebago,12630,8985
Boone,"Lake, IN","BooneLake, IN",0,0
Boone,LaPorte,BooneLaPorte,0,0
Boone,Porter,BoonePorter,0,0
Boone,Kenosha,BooneKenosha,5,0
Boone,Racine,BooneRacine,0,35
Boone,Walworth,BooneWalworth,105,160
Cook,Boone,CookBoone,10,135
Cook,Cook,CookCook,2199885,2119875
Cook,DeKalb,CookDeKalb,5,740
Cook,DuPage,CookDuPage,94165,144565
Cook,Grundy,CookGrundy,5,655
Cook,Kane,CookKane,6210,18845
Cook,Kankakee,CookKankakee,110,1485
Cook,Kendall,CookKendall,15,710
Cook,Lake,CookLake,32805,65625
Cook,LaSalle,CookLaSalle,0,270
Cook,Lee,CookLee,0,65
Cook,McHenry,CookMcHenry,585,4025
Cook,Ogle,CookOgle,0,105
Cook,Will,CookWill,19520,45000
Cook,Winnebago,CookWinnebago,0,855
Cook,"Lake, IN","CookLake, IN",20225,16105
Cook,LaPorte,CookLaPorte,0,270
Cook,Porter,CookPorter,125,800
Cook,Kenosha,CookKenosha,0,600
Cook,Racine,CookRacine,0,245
Cook,Walworth,CookWalworth,0,190
DeKalb,Boone,DeKalbBoone,2735,305
DeKalb,Cook,DeKalbCook,2220,2055
DeKalb,DeKalb,DeKalbDeKalb,22575,30615
DeKalb,DuPage,DeKalbDuPage,4955,3165
DeKalb,Grundy,DeKalbGrundy,50,25
DeKalb,Kane,DeKalbKane,9685,7740
DeKalb,Kankakee,DeKalbKankakee,0,15
DeKalb,Kendall,DeKalbKendall,1525,2100
DeKalb,Lake,DeKalbLake,95,265
DeKalb,LaSalle,DeKalbLaSalle,285,270
DeKalb,Lee,DeKalbLee,215,65
DeKalb,McHenry,DeKalbMcHenry,800,555
DeKalb,Ogle,DeKalbOgle,1695,720
DeKalb,Will,DeKalbWill,275,495
DeKalb,Winnebago,DeKalbWinnebago,2185,1095
DeKalb,"Lake, IN","DeKalbLake, IN",0,40
DeKalb,LaPorte,DeKalbLaPorte,0,0
DeKalb,Porter,DeKalbPorter,0,4
DeKalb,Kenosha,DeKalbKenosha,0,0
DeKalb,Racine,DeKalbRacine,0,0
DeKalb,Walworth,DeKalbWalworth,0,35
