cat,subgroup,value,xaxis,hours
discretionary,Model-Arrive,865,1,3:00 AM
escort,Model-Arrive,755,1,3:00 AM
maintenance,Model-Arrive,525,1,3:00 AM
school,Model-Arrive,895,1,3:00 AM
university,Model-Arrive,70,1,3:00 AM
work,Model-Arrive,5,1,3:00 AM
discretionary,Model-Arrive,3420,2,5:00 AM
escort,Model-Arrive,3060,2,5:00 AM
maintenance,Model-Arrive,1645,2,5:00 AM
school,Model-Arrive,1580,2,5:00 AM
work-based,Model-Arrive,10,2,5:00 AM
discretionary,Model-Arrive,10325,3,5:30 AM
escort,Model-Arrive,5395,3,5:30 AM
maintenance,Model-Arrive,4155,3,5:30 AM
school,Model-Arrive,2305,3,5:30 AM
work,Model-Arrive,10,3,5:30 AM
work-based,Model-Arrive,70,3,5:30 AM
discretionary,Model-Arrive,21535,4,6:00 AM
escort,Model-Arrive,8895,4,6:00 AM
maintenance,Model-Arrive,8945,4,6:00 AM
school,Model-Arrive,2155,4,6:00 AM
work,Model-Arrive,85,4,6:00 AM
work-based,Model-Arrive,90,4,6:00 AM
discretionary,Model-Arrive,32550,5,6:30 AM
escort,Model-Arrive,14485,5,6:30 AM
maintenance,Model-Arrive,14265,5,6:30 AM
school,Model-Arrive,4845,5,6:30 AM
university,Model-Arrive,5,5,6:30 AM
work,Model-Arrive,195,5,6:30 AM
work-based,Model-Arrive,190,5,6:30 AM
discretionary,Model-Arrive,31275,6,7:00 AM
escort,Model-Arrive,23880,6,7:00 AM
maintenance,Model-Arrive,14970,6,7:00 AM
school,Model-Arrive,4265,6,7:00 AM
university,Model-Arrive,20,6,7:00 AM
work,Model-Arrive,500,6,7:00 AM
work-based,Model-Arrive,500,6,7:00 AM
discretionary,Model-Arrive,24890,7,7:30 AM
escort,Model-Arrive,31495,7,7:30 AM
maintenance,Model-Arrive,11235,7,7:30 AM
school,Model-Arrive,2920,7,7:30 AM
university,Model-Arrive,30,7,7:30 AM
work,Model-Arrive,1205,7,7:30 AM
work-based,Model-Arrive,1350,7,7:30 AM
discretionary,Model-Arrive,24635,8,8:00 AM
escort,Model-Arrive,52670,8,8:00 AM
maintenance,Model-Arrive,14105,8,8:00 AM
school,Model-Arrive,4170,8,8:00 AM
university,Model-Arrive,20,8,8:00 AM
work,Model-Arrive,1825,8,8:00 AM
work-based,Model-Arrive,2845,8,8:00 AM
discretionary,Model-Arrive,17540,9,8:30 AM
escort,Model-Arrive,50770,9,8:30 AM
maintenance,Model-Arrive,17800,9,8:30 AM
school,Model-Arrive,4020,9,8:30 AM
university,Model-Arrive,90,9,8:30 AM
work,Model-Arrive,2355,9,8:30 AM
work-based,Model-Arrive,4620,9,8:30 AM
discretionary,Model-Arrive,19535,10,9:00 AM
escort,Model-Arrive,43750,10,9:00 AM
maintenance,Model-Arrive,25205,10,9:00 AM
school,Model-Arrive,3560,10,9:00 AM
university,Model-Arrive,290,10,9:00 AM
work,Model-Arrive,3440,10,9:00 AM
work-based,Model-Arrive,5495,10,9:00 AM
discretionary,Model-Arrive,21615,11,9:30 AM
escort,Model-Arrive,18390,11,9:30 AM
maintenance,Model-Arrive,35935,11,9:30 AM
school,Model-Arrive,3275,11,9:30 AM
university,Model-Arrive,690,11,9:30 AM
work,Model-Arrive,4830,11,9:30 AM
work-based,Model-Arrive,6330,11,9:30 AM
discretionary,Model-Arrive,21070,12,10:00 AM
escort,Model-Arrive,14495,12,10:00 AM
maintenance,Model-Arrive,43610,12,10:00 AM
school,Model-Arrive,4615,12,10:00 AM
university,Model-Arrive,1325,12,10:00 AM
work,Model-Arrive,6960,12,10:00 AM
work-based,Model-Arrive,7130,12,10:00 AM
discretionary,Model-Arrive,20045,13,10:30 AM
escort,Model-Arrive,12440,13,10:30 AM
maintenance,Model-Arrive,42790,13,10:30 AM
school,Model-Arrive,6525,13,10:30 AM
university,Model-Arrive,2605,13,10:30 AM
work,Model-Arrive,10340,13,10:30 AM
work-based,Model-Arrive,8335,13,10:30 AM
discretionary,Model-Arrive,25780,14,11:00 AM
escort,Model-Arrive,22880,14,11:00 AM
maintenance,Model-Arrive,56695,14,11:00 AM
school,Model-Arrive,9100,14,11:00 AM
university,Model-Arrive,4545,14,11:00 AM
work,Model-Arrive,15425,14,11:00 AM
work-based,Model-Arrive,11185,14,11:00 AM
discretionary,Model-Arrive,23495,15,11:30 AM
escort,Model-Arrive,32275,15,11:30 AM
maintenance,Model-Arrive,52590,15,11:30 AM
school,Model-Arrive,11900,15,11:30 AM
university,Model-Arrive,5125,15,11:30 AM
work,Model-Arrive,23010,15,11:30 AM
work-based,Model-Arrive,21090,15,11:30 AM
discretionary,Model-Arrive,21225,16,12:00 PM
escort,Model-Arrive,29785,16,12:00 PM
maintenance,Model-Arrive,55885,16,12:00 PM
school,Model-Arrive,16750,16,12:00 PM
university,Model-Arrive,5780,16,12:00 PM
work,Model-Arrive,33240,16,12:00 PM
work-based,Model-Arrive,46710,16,12:00 PM
discretionary,Model-Arrive,19090,17,12:30 PM
escort,Model-Arrive,18715,17,12:30 PM
maintenance,Model-Arrive,53110,17,12:30 PM
school,Model-Arrive,22490,17,12:30 PM
university,Model-Arrive,5950,17,12:30 PM
work,Model-Arrive,47985,17,12:30 PM
work-based,Model-Arrive,78610,17,12:30 PM
discretionary,Model-Arrive,21100,18,1:00 PM
escort,Model-Arrive,13415,18,1:00 PM
maintenance,Model-Arrive,49805,18,1:00 PM
school,Model-Arrive,27000,18,1:00 PM
university,Model-Arrive,6700,18,1:00 PM
work,Model-Arrive,66235,18,1:00 PM
work-based,Model-Arrive,73835,18,1:00 PM
discretionary,Model-Arrive,20465,19,1:30 PM
escort,Model-Arrive,14870,19,1:30 PM
maintenance,Model-Arrive,48890,19,1:30 PM
school,Model-Arrive,31100,19,1:30 PM
university,Model-Arrive,6340,19,1:30 PM
work,Model-Arrive,89560,19,1:30 PM
work-based,Model-Arrive,49580,19,1:30 PM
discretionary,Model-Arrive,21275,20,2:00 PM
escort,Model-Arrive,15645,20,2:00 PM
maintenance,Model-Arrive,46895,20,2:00 PM
school,Model-Arrive,38420,20,2:00 PM
university,Model-Arrive,6975,20,2:00 PM
work,Model-Arrive,109255,20,2:00 PM
work-based,Model-Arrive,25950,20,2:00 PM
discretionary,Model-Arrive,21250,21,2:30 PM
escort,Model-Arrive,26800,21,2:30 PM
maintenance,Model-Arrive,53275,21,2:30 PM
school,Model-Arrive,194020,21,2:30 PM
university,Model-Arrive,9050,21,2:30 PM
work,Model-Arrive,77755,21,2:30 PM
work-based,Model-Arrive,14055,21,2:30 PM
discretionary,Model-Arrive,23300,22,3:00 PM
escort,Model-Arrive,53250,22,3:00 PM
maintenance,Model-Arrive,54045,22,3:00 PM
school,Model-Arrive,358905,22,3:00 PM
university,Model-Arrive,9820,22,3:00 PM
work,Model-Arrive,192490,22,3:00 PM
work-based,Model-Arrive,11460,22,3:00 PM
discretionary,Model-Arrive,21460,23,3:30 PM
escort,Model-Arrive,41200,23,3:30 PM
maintenance,Model-Arrive,57605,23,3:30 PM
school,Model-Arrive,305380,23,3:30 PM
university,Model-Arrive,10670,23,3:30 PM
work,Model-Arrive,331275,23,3:30 PM
work-based,Model-Arrive,8235,23,3:30 PM
discretionary,Model-Arrive,24230,24,4:00 PM
escort,Model-Arrive,32525,24,4:00 PM
maintenance,Model-Arrive,66690,24,4:00 PM
school,Model-Arrive,141325,24,4:00 PM
university,Model-Arrive,10080,24,4:00 PM
work,Model-Arrive,443000,24,4:00 PM
work-based,Model-Arrive,5835,24,4:00 PM
discretionary,Model-Arrive,28925,25,4:30 PM
escort,Model-Arrive,37535,25,4:30 PM
maintenance,Model-Arrive,78900,25,4:30 PM
school,Model-Arrive,67035,25,4:30 PM
university,Model-Arrive,9755,25,4:30 PM
work,Model-Arrive,497750,25,4:30 PM
work-based,Model-Arrive,4070,25,4:30 PM
discretionary,Model-Arrive,35545,26,5:00 PM
escort,Model-Arrive,46650,26,5:00 PM
maintenance,Model-Arrive,94620,26,5:00 PM
school,Model-Arrive,61270,26,5:00 PM
university,Model-Arrive,9280,26,5:00 PM
work,Model-Arrive,754215,26,5:00 PM
work-based,Model-Arrive,2695,26,5:00 PM
discretionary,Model-Arrive,43475,27,5:30 PM
escort,Model-Arrive,57335,27,5:30 PM
maintenance,Model-Arrive,85570,27,5:30 PM
school,Model-Arrive,52140,27,5:30 PM
university,Model-Arrive,7655,27,5:30 PM
work,Model-Arrive,260740,27,5:30 PM
work-based,Model-Arrive,1030,27,5:30 PM
discretionary,Model-Arrive,54300,28,6:00 PM
escort,Model-Arrive,62305,28,6:00 PM
maintenance,Model-Arrive,62425,28,6:00 PM
school,Model-Arrive,34650,28,6:00 PM
university,Model-Arrive,7520,28,6:00 PM
work,Model-Arrive,229095,28,6:00 PM
work-based,Model-Arrive,700,28,6:00 PM
discretionary,Model-Arrive,64200,29,6:30 PM
escort,Model-Arrive,41770,29,6:30 PM
maintenance,Model-Arrive,63145,29,6:30 PM
school,Model-Arrive,22565,29,6:30 PM
university,Model-Arrive,7275,29,6:30 PM
