cat,subgroup,value,xaxis,hours
discretionary,Model-Arrive,9.052472947234024e-05,1,03:00 AM to 05:00 AM
escort,Model-Arrive,7.901291416371895e-05,1,03:00 AM to 05:00 AM
maintenance,Model-Arrive,5.494275488205622e-05,1,03:00 AM to 05:00 AM
school,Model-Arrive,9.36643154656006e-05,1,03:00 AM to 05:00 AM
university,Model-Arrive,7.32570065094083e-06,1,03:00 AM to 05:00 AM
work,Model-Arrive,5.232643322100592e-07,1,03:00 AM to 05:00 AM
discretionary,Model-Arrive,0.0003579128032316805,2,05:00 AM to 05:30 AM
escort,Model-Arrive,0.00032023777131255627,2,05:00 AM to 05:30 AM
maintenance,Model-Arrive,0.0001721539652971095,2,05:00 AM to 05:30 AM
school,Model-Arrive,0.00016535152897837873,2,05:00 AM to 05:30 AM
work-based,Model-Arrive,1.0465286644201185e-06,2,05:00 AM to 05:30 AM
discretionary,Model-Arrive,0.0010805408460137723,3,05:30 AM to 06:00 AM
escort,Model-Arrive,0.0005646022144546539,3,05:30 AM to 06:00 AM
maintenance,Model-Arrive,0.0004348326600665592,3,05:30 AM to 06:00 AM
school,Model-Arrive,0.00024122485714883732,3,05:30 AM to 06:00 AM
work,Model-Arrive,1.0465286644201185e-06,3,05:30 AM to 06:00 AM
work-based,Model-Arrive,7.32570065094083e-06,3,05:30 AM to 06:00 AM
discretionary,Model-Arrive,0.002253699478828725,4,06:00 AM to 06:30 AM
escort,Model-Arrive,0.0009308872470016954,4,06:00 AM to 06:30 AM
maintenance,Model-Arrive,0.0009361198903237959,4,06:00 AM to 06:30 AM
school,Model-Arrive,0.00022552692718253554,4,06:00 AM to 06:30 AM
work,Model-Arrive,8.895493647571007e-06,4,06:00 AM to 06:30 AM
work-based,Model-Arrive,9.418757979781067e-06,4,06:00 AM to 06:30 AM
discretionary,Model-Arrive,0.0034064508026874856,5,06:30 AM to 07:00 AM
escort,Model-Arrive,0.0015158967704125416,5,06:30 AM to 07:00 AM
maintenance,Model-Arrive,0.001492873139795299,5,06:30 AM to 07:00 AM
school,Model-Arrive,0.0005070431379115474,5,06:30 AM to 07:00 AM
university,Model-Arrive,5.232643322100592e-07,5,06:30 AM to 07:00 AM
work,Model-Arrive,2.040730895619231e-05,5,06:30 AM to 07:00 AM
work-based,Model-Arrive,1.9884044623982252e-05,5,06:30 AM to 07:00 AM
discretionary,Model-Arrive,0.0032730183979739207,6,07:00 AM to 07:30 AM
escort,Model-Arrive,0.002499110450635243,6,07:00 AM to 07:30 AM
maintenance,Model-Arrive,0.0015666534106369174,6,07:00 AM to 07:30 AM
school,Model-Arrive,0.0004463444753751805,6,07:00 AM to 07:30 AM
university,Model-Arrive,2.093057328840237e-06,6,07:00 AM to 07:30 AM
work,Model-Arrive,5.2326433221005924e-05,6,07:00 AM to 07:30 AM
work-based,Model-Arrive,5.2326433221005924e-05,6,07:00 AM to 07:30 AM
discretionary,Model-Arrive,0.002604809845741675,7,07:30 AM to 08:00 AM
escort,Model-Arrive,0.003296042028591163,7,07:30 AM to 08:00 AM
maintenance,Model-Arrive,0.001175774954476003,7,07:30 AM to 08:00 AM
school,Model-Arrive,0.0003055863700106746,7,07:30 AM to 08:00 AM
university,Model-Arrive,3.1395859932603554e-06,7,07:30 AM to 08:00 AM
work,Model-Arrive,0.00012610670406262427,7,07:30 AM to 08:00 AM
work-based,Model-Arrive,0.000141281369696716,7,07:30 AM to 08:00 AM
discretionary,Model-Arrive,0.0025781233647989617,8,08:00 AM to 08:30 AM
escort,Model-Arrive,0.005512066475500764,8,08:00 AM to 08:30 AM
maintenance,Model-Arrive,0.0014761286811645772,8,08:00 AM to 08:30 AM
school,Model-Arrive,0.0004364024530631894,8,08:00 AM to 08:30 AM
university,Model-Arrive,2.093057328840237e-06,8,08:00 AM to 08:30 AM
work,Model-Arrive,0.00019099148125667161,8,08:00 AM to 08:30 AM
work-based,Model-Arrive,0.0002977374050275237,8,08:00 AM to 08:30 AM
discretionary,Model-Arrive,0.0018356112773928878,9,08:30 AM to 09:00 AM
escort,Model-Arrive,0.005313226029260942,9,08:30 AM to 09:00 AM
maintenance,Model-Arrive,0.001862821022667811,9,08:30 AM to 09:00 AM
school,Model-Arrive,0.0004207045230968876,9,08:30 AM to 09:00 AM
university,Model-Arrive,9.418757979781067e-06,9,08:30 AM to 09:00 AM
work,Model-Arrive,0.0002464575004709379,9,08:30 AM to 09:00 AM
work-based,Model-Arrive,0.0004834962429620947,9,08:30 AM to 09:00 AM
discretionary,Model-Arrive,0.0020443937459447012,10,09:00 AM to 09:30 AM
escort,Model-Arrive,0.004578562906838018,10,09:00 AM to 09:30 AM
maintenance,Model-Arrive,0.0026377754986709086,10,09:00 AM to 09:30 AM
school,Model-Arrive,0.00037256420453356216,10,09:00 AM to 09:30 AM
university,Model-Arrive,3.0349331268183434e-05,10,09:00 AM to 09:30 AM
work,Model-Arrive,0.00036000586056052073,10,09:00 AM to 09:30 AM
work-based,Model-Arrive,0.0005750675010988551,10,09:00 AM to 09:30 AM
discretionary,Model-Arrive,0.002262071708144086,11,09:30 AM to 10:00 AM
escort,Model-Arrive,0.001924566213868598,11,09:30 AM to 10:00 AM
maintenance,Model-Arrive,0.0037607007555936958,11,09:30 AM to 10:00 AM
school,Model-Arrive,0.0003427381375975888,11,09:30 AM to 10:00 AM
university,Model-Arrive,7.221047784498818e-05,11,09:30 AM to 10:00 AM
work,Model-Arrive,0.0005054733449149173,11,09:30 AM to 10:00 AM
work-based,Model-Arrive,0.000662452644577935,11,09:30 AM to 10:00 AM
discretionary,Model-Arrive,0.0022050358959331898,12,10:00 AM to 10:30 AM
escort,Model-Arrive,0.0015169432990769617,12,10:00 AM to 10:30 AM
maintenance,Model-Arrive,0.004563911505536137,12,10:00 AM to 10:30 AM
school,Model-Arrive,0.00048297297862988467,12,10:00 AM to 10:30 AM
university,Model-Arrive,0.0001386650480356657,12,10:00 AM to 10:30 AM
work,Model-Arrive,0.0007283839504364024,12,10:00 AM to 10:30 AM
work-based,Model-Arrive,0.0007461749377315445,12,10:00 AM to 10:30 AM
discretionary,Model-Arrive,0.0020977667078301275,13,10:30 AM to 11:00 AM
escort,Model-Arrive,0.0013018816585386275,13,10:30 AM to 11:00 AM
maintenance,Model-Arrive,0.004478096155053687,13,10:30 AM to 11:00 AM
school,Model-Arrive,0.0006828599535341273,13,10:30 AM to 11:00 AM
university,Model-Arrive,0.0002726207170814409,13,10:30 AM to 11:00 AM
work,Model-Arrive,0.0010821106390104026,13,10:30 AM to 11:00 AM
work-based,Model-Arrive,0.0008722816417941687,13,10:30 AM to 11:00 AM
discretionary,Model-Arrive,0.0026979508968750653,14,11:00 AM to 11:30 AM
escort,Model-Arrive,0.002394457584193231,14,11:00 AM to 11:30 AM
maintenance,Model-Arrive,0.0059332942629298615,14,11:00 AM to 11:30 AM
school,Model-Arrive,0.0009523410846223079,14,11:00 AM to 11:30 AM
university,Model-Arrive,0.00047564727797894384,14,11:00 AM to 11:30 AM
work,Model-Arrive,0.0016142704648680326,14,11:00 AM to 11:30 AM
