orig_ring_sector,dest_ring_sector,Model,Travel Tracker Survey
3IN,3IN,460,3949.97143
3IN,3S,20,0
3IN,Central Chicago,710,6136.442185
3IN,South Chicago,245,769.6721133
3IN,XIN,55,75.22857
3N,3N,3100,1775.741421
3N,3NW,180,672.8260017
3N,4N,735,0
3N,4NW,255,167.146405
3N,4WNW,5,0
3N,Central Chicago,1755,7668.782704
3N,North Chicago,3430,4657.647019
3N,South Chicago,25,351.5152787
3N,XWI,60,0
3NW,3N,165,672.8260017
3NW,3NW,4420,166.6959885
3NW,3W,5,0
3NW,3WNW,540,0
3NW,4N,35,0
3NW,4NW,560,297.7974704
3NW,4WNW,10,0
3NW,Central Chicago,1215,9669.219911
3NW,North Chicago,1115,684.4523134
3NW,South Chicago,5,1385.79314
3NW,XWI,10,0
3S,3IN,35,0
3S,3S,3615,1392.63332
3S,3SW,125,0
3S,4SW,20,0
3S,Central Chicago,1835,10025.92214
3S,North Chicago,5,0
3S,South Chicago,710,2411.543792
3SW,3S,110,0
3SW,3SW,5310,0
3SW,3WSW,185,0
3SW,4SW,270,283.775853
3SW,Central Chicago,3435,10134.35255
3SW,North Chicago,10,0
3SW,South Chicago,2000,4709.649565
3W,3N,5,0
3W,3NW,5,0
3W,3SW,5,0
3W,3W,5535,518.0970617
3W,3WNW,365,0
3W,3WSW,400,1233.726788
3W,4W,190,518.0970617
3W,4WNW,5,0
3W,4WSW,15,0
3W,Central Chicago,5995,8672.660296
3W,North Chicago,25,2812.273699
3W,South Chicago,5,406.9054681
3W,XIL,5,0
3WNW,3NW,520,0
3WNW,3W,410,0
3WNW,3WNW,4435,0
3WNW,4NW,10,0
3WNW,4SW,5,0
3WNW,4W,15,0
3WNW,4WNW,515,0
3WNW,4WSW,5,0
3WNW,Central Chicago,1860,7924.24555
3WNW,North Chicago,250,747.9606292
3WSW,3SW,130,369.8439963
3WSW,3W,365,369.8439963
3WSW,3WNW,5,548.1989733
3WSW,3WSW,7455,1386.477537
3WSW,4SW,60,0
3WSW,4WSW,885,1423.296535
3WSW,Central Chicago,9770,26345.52477
3WSW,North Chicago,40,405.1778803
3WSW,South Chicago,40,638.7958938
4N,3N,760,0
4N,3NW,15,0
4N,4N,7785,5853.268675
4N,4NW,615,1524.683666
4N,Central Chicago,1980,7662.077161
4N,North Chicago,870,831.8707828
4N,XWI,310,0
4NW,3N,275,108.2926137
4NW,3NW,590,353.3315747
4NW,3WNW,5,0
4NW,4N,625,1524.683666
4NW,4NW,4765,1247.305812
4NW,4WNW,25,0
4NW,Central Chicago,1095,15196.76026
4NW,North Chicago,490,466.2726823
4NW,XWI,10,0
4SW,3S,10,0
4SW,3SW,285,283.775853
4SW,3WSW,45,0
4SW,4SW,3765,1717.344581
4SW,Central Chicago,1710,6063.784107
4SW,South Chicago,120,0
4W,3W,185,0
4W,3WNW,15,0
4W,3WSW,5,0
4W,4W,905,304.7708362
4W,4WNW,30,0
4W,4WSW,90,0
4W,Central Chicago,995,1729.845385
4WNW,3N,5,0
4WNW,3NW,10,0
4WNW,3WNW,520,0
4WNW,4NW,50,0
4WNW,4W,45,0
4WNW,4WNW,3045,3378.463482
4WNW,Central Chicago,355,1771.111813
4WNW,North Chicago,10,0
4WSW,3W,10,0
4WSW,3WSW,885,579.3259623
4WSW,4W,80,0
4WSW,4WSW,4665,704.8287297
4WSW,Central Chicago,1940,3196.181988
4WSW,North Chicago,10,0
Central Chicago,3IN,695,5675.345575
Central Chicago,3N,1760,7352.024645
Central Chicago,3NW,1165,10929.82099
Central Chicago,3S,1695,9371.819597
Central Chicago,3SW,3390,12239.75734
Central Chicago,3W,5650,9419.818159
Central Chicago,3WNW,1830,5857.474304
Central Chicago,3WSW,9180,28858.41427
Central Chicago,4N,1815,7977.078319
Central Chicago,4NW,1000,14868.79877
Central Chicago,4SW,1545,7092.714644
Central Chicago,4W,895,1211.748323
Central Chicago,4WNW,320,1965.563159
Central Chicago,4WSW,1645,1744.390198
Central Chicago,Central Chicago,546770,336085.026
Central Chicago,North Chicago,177960,136678.9934
Central Chicago,South Chicago,107480,116955.3967
Central Chicago,XIL,5,0
Central Chicago,XIN,30,2705.75102
Central Chicago,XWI,225,0
North Chicago,3N,3540,4914.197987
North Chicago,3NW,1160,471.8268656
North Chicago,3S,30,0
North Chicago,3SW,35,0
North Chicago,3W,205,2812.273699
North Chicago,3WNW,290,747.9606292
North Chicago,3WSW,235,528.5404453
North Chicago,4N,835,659.183256
North Chicago,4NW,510,604.2184142
North Chicago,4SW,25,0
North Chicago,4W,10,0
North Chicago,4WNW,5,0
North Chicago,4WSW,50,0
North Chicago,Central Chicago,175100,139845.0583
North Chicago,North Chicago,214115,99694.11828
North Chicago,South Chicago,8680,13479.51063
North Chicago,XWI,80,0
South Chicago,3IN,230,769.6721133
South Chicago,3N,45,834.2457199
South Chicago,3NW,10,2481.74448
South Chicago,3S,765,1119.992979
South Chicago,3SW,1995,3425.108165
South Chicago,3W,85,406.9054681
South Chicago,3WNW,20,434.767185
South Chicago,3WSW,205,103.1892874
South Chicago,4N,10,0
South Chicago,4NW,5,317.1417833
South Chicago,4SW,165,0
South Chicago,4W,15,0
South Chicago,4WNW,10,0
South Chicago,4WSW,30,581.52247
South Chicago,Central Chicago,107795,116907.2898
South Chicago,North Chicago,6935,13144.14919
South Chicago,South Chicago,120855,186211.7733
South Chicago,XIN,5,113.5881
XIL,3W,5,0
XIL,Central Chicago,5,0
XIN,3IN,40,140.56452
XIN,Central Chicago,30,2333.58839
XIN,South Chicago,5,141.96157
XIN,XIN,200,81.03682
XWI,3N,80,0
XWI,3NW,5,0
XWI,4N,380,0
XWI,Central Chicago,255,0
XWI,North Chicago,80,0
