MainGroup,StackGroup,SubGroup,Value,Category,Title
1 Adult,0 Children,0,27.2,Children,Children
2 Adults,0 Children,0,25,Children,Children
3+ Adults,0 Children,0,17.6,Children,Children
1 Adult,1 Child,0,0.5,Children,Children
2 Adults,1 Child,0,11,Children,Children
3+ Adults,1 Child,0,7.1,Children,Children
1 Adult,2+ Children,0,4.2,Children,Children
2 Adults,2+ Children,0,5.9,Children,Children
3+ Adults,2+ Children,0,1.5,Children,Children
1 Adult,0 Children,1,27.4,Children,Children
2 Adults,0 Children,1,26.5,Children,Children
3+ Adults,0 Children,1,12,Children,Children
1 Adult,1 Child,1,0.9,Children,Children
2 Adults,1 Child,1,8.4,Children,Children
3+ Adults,1 Child,1,4.5,Children,Children
1 Adult,2+ Children,1,0.8,Children,Children
2 Adults,2+ Children,1,15.4,Children,Children
3+ Adults,2+ Children,1,3.9,Children,Children
1 Adult,0 Workers,0,6.8,Workers,Workers
2 Adults,0 Workers,0,7.5,Workers,Workers
3+ Adults,0 Workers,0,9,Workers,Workers
1 Adult,1 Worker,0,25.1,Workers,Workers
2 Adults,1 Worker,0,13.3,Workers,Workers
3+ Adults,1 Worker,0,4,Workers,Workers
1 Adult,2+ Workers,0,0,Workers,Workers
2 Adults,2+ Workers,0,21.2,Workers,Workers
3+ Adults,2+ Workers,0,13.1,Workers,Workers
1 Adult,0 Workers,1,14.8,Workers,Workers
2 Adults,0 Workers,1,8.8,Workers,Workers
3+ Adults,0 Workers,1,2.2,Workers,Workers
1 Adult,1 Worker,1,14.4,Workers,Workers
2 Adults,1 Worker,1,22.8,Workers,Workers
3+ Adults,1 Worker,1,4.2,Workers,Workers
1 Adult,2+ Workers,1,0,Workers,Workers
2 Adults,2+ Workers,1,18.7,Workers,Workers
3+ Adults,2+ Workers,1,12.5,Workers,Workers
1 Adult,0 Vehicles,0,4.5,Vehicles,Vehicles
2 Adults,0 Vehicles,0,5.9,Vehicles,Vehicles
3+ Adults,0 Vehicles,0,2.1,Vehicles,Vehicles
1 Adult,1 Vehicle,0,9,Vehicles,Vehicles
2 Adults,1 Vehicle,0,22.7,Vehicles,Vehicles
3+ Adults,1 Vehicle,0,7.4,Vehicles,Vehicles
1 Adult,2 Vehicles,0,6.9,Vehicles,Vehicles
2 Adults,2 Vehicles,0,11,Vehicles,Vehicles
3+ Adults,2 Vehicles,0,16.5,Vehicles,Vehicles
1 Adult,3+ Vehicles,0,2.7,Vehicles,Vehicles
2 Adults,3+ Vehicles,0,2.8,Vehicles,Vehicles
3+ Adults,3+ Vehicles,0,8.5,Vehicles,Vehicles
1 Adult,0 Vehicles,1,8,Vehicles,Vehicles
2 Adults,0 Vehicles,1,4.5,Vehicles,Vehicles
3+ Adults,0 Vehicles,1,0.5,Vehicles,Vehicles
1 Adult,1 Vehicle,1,11.9,Vehicles,Vehicles
2 Adults,1 Vehicle,1,19.1,Vehicles,Vehicles
3+ Adults,1 Vehicle,1,3.3,Vehicles,Vehicles
1 Adult,2 Vehicles,1,5,Vehicles,Vehicles
2 Adults,2 Vehicles,1,13,Vehicles,Vehicles
3+ Adults,2 Vehicles,1,16.9,Vehicles,Vehicles
1 Adult,3+ Vehicles,1,1.1,Vehicles,Vehicles
2 Adults,3+ Vehicles,1,6.2,Vehicles,Vehicles
3+ Adults,3+ Vehicles,1,10.6,Vehicles,Vehicles
