MainGroup,StackGroup,SubGroup,Value,Category,Title,xlabel
1 Adult,0 Children,Model,991956,children,Number of Children,0
1 Adult,0 Children,Observed,1062388,children,Number of Children,1
1 Adult,1 Child,Model,15374,children,Number of Children,2
1 Adult,1 Child,Observed,75921,children,Number of Children,3
1 Adult,2 Children,Model,17259,children,Number of Children,4
1 Adult,2 Children,Observed,51804,children,Number of Children,5
1 Adult,3+ Children,Model,153274,children,Number of Children,6
1 Adult,3+ Children,Observed,31470,children,Number of Children,7
1 Adult,0 Workers,Model,225109,workers,Number of Workers,0
1 Adult,0 Workers,Observed,500730,workers,Number of Workers,1
1 Adult,1 Worker,Model,952754,workers,Number of Workers,2
1 Adult,1 Worker,Observed,720854,workers,Number of Workers,3
2 Adults,0 Children,Model,993499,children,Number of Children,0
2 Adults,0 Children,Observed,1077792,children,Number of Children,1
2 Adults,1 Child,Model,447475,children,Number of Children,2
2 Adults,1 Child,Observed,251279,children,Number of Children,3
2 Adults,2 Children,Model,145570,children,Number of Children,4
2 Adults,2 Children,Observed,291145,children,Number of Children,5
2 Adults,3+ Children,Model,97987,children,Number of Children,6
2 Adults,3+ Children,Observed,166986,children,Number of Children,7
2 Adults,0 Workers,Model,294835,workers,Number of Workers,0
2 Adults,0 Workers,Observed,308858,workers,Number of Workers,1
2 Adults,1 Worker,Model,529035,workers,Number of Workers,2
2 Adults,1 Worker,Observed,632686,workers,Number of Workers,3
2 Adults,2 Workers,Model,860661,workers,Number of Workers,4
2 Adults,2 Workers,Observed,845658,workers,Number of Workers,5
3 Adults,0 Children,Model,372579,children,Number of Children,0
3 Adults,0 Children,Observed,296821,children,Number of Children,1
3 Adults,1 Child,Model,272657,children,Number of Children,2
3 Adults,1 Child,Observed,116365,children,Number of Children,3
3 Adults,2 Children,Model,27824,children,Number of Children,4
3 Adults,2 Children,Observed,65386,children,Number of Children,5
3 Adults,3+ Children,Model,14358,children,Number of Children,6
3 Adults,3+ Children,Observed,36587,children,Number of Children,7
3 Adults,0 Workers,Model,203777,workers,Number of Workers,0
3 Adults,0 Workers,Observed,37695,workers,Number of Workers,1
3 Adults,1 Worker,Model,118034,workers,Number of Workers,2
3 Adults,1 Worker,Observed,131958,workers,Number of Workers,3
3 Adults,2 Workers,Model,83149,workers,Number of Workers,4
3 Adults,2 Workers,Observed,213388,workers,Number of Workers,5
3 Adults,3+ Workers,Model,282458,workers,Number of Workers,6
3 Adults,3+ Workers,Observed,132117,workers,Number of Workers,7
4+ Adults,0 Children,Model,270584,children,Number of Children,0
4+ Adults,0 Children,Observed,160638,children,Number of Children,1
4+ Adults,1 Child,Model,12811,children,Number of Children,2
4+ Adults,1 Child,Observed,70164,children,Number of Children,3
4+ Adults,2 Children,Model,5211,children,Number of Children,4
4+ Adults,2 Children,Observed,36908,children,Number of Children,5
4+ Adults,3+ Children,Model,6959,children,Number of Children,6
4+ Adults,3+ Children,Observed,26531,children,Number of Children,7
4+ Adults,0 Workers,Model,138644,workers,Number of Workers,0
4+ Adults,0 Workers,Observed,11835,workers,Number of Workers,1
4+ Adults,1 Worker,Model,32095,workers,Number of Workers,2
4+ Adults,1 Worker,Observed,43890,workers,Number of Workers,3
4+ Adults,2 Workers,Model,32211,workers,Number of Workers,4
4+ Adults,2 Workers,Observed,82738,workers,Number of Workers,5
4+ Adults,3+ Workers,Model,92615,workers,Number of Workers,6
4+ Adults,3+ Workers,Observed,155779,workers,Number of Workers,7
