root,node,count,Category,color,
Chicago (CBD),Chicago (CBD),124295,Model,#c26ac21,Chicago (CBD)Chicago (CBD)Model
Chicago (CBD),Chicago (CBD),115816.5885,Survey,#c26ac21,Chicago (CBD)Chicago (CBD)Survey
Chicago (CBD),Chicago (N),89420,Model,#c26ac21,Chicago (CBD)Chicago (N)Model
Chicago (CBD),Chicago (N),87627.86554,Survey,#c26ac21,Chicago (CBD)Chicago (N)Survey
Chicago (CBD),Chicago (S),45305,Model,#c26ac21,Chicago (CBD)Chicago (S)Model
Chicago (CBD),Chicago (S),47664.25337,Survey,#c26ac21,Chicago (CBD)Chicago (S)Survey
Chicago (CBD),Chicago (W),43440,Model,#c26ac21,Chicago (CBD)Chicago (W)Model
Chicago (CBD),Chicago (W),34802.62475,Survey,#c26ac21,Chicago (CBD)Chicago (W)Survey
Chicago (CBD),Cook (N),9965,Model,#c26ac21,Chicago (CBD)Cook (N)Model
Chicago (CBD),Cook (N),31608.54956,Survey,#c26ac21,Chicago (CBD)Cook (N)Survey
Chicago (CBD),Cook (S),12825,Model,#c26ac21,Chicago (CBD)Cook (S)Model
Chicago (CBD),Cook (S),28258.28908,Survey,#c26ac21,Chicago (CBD)Cook (S)Survey
Chicago (CBD),Cook (W),22225,Model,#c26ac21,Chicago (CBD)Cook (W)Model
Chicago (CBD),Cook (W),25907.50319,Survey,#c26ac21,Chicago (CBD)Cook (W)Survey
Chicago (CBD),DuPage,13870,Model,#c26ac21,Chicago (CBD)DuPageModel
Chicago (CBD),DuPage,33447.77967,Survey,#c26ac21,Chicago (CBD)DuPageSurvey
Chicago (CBD),Kane,2130,Model,#c26ac21,Chicago (CBD)KaneModel
Chicago (CBD),Kane,6821.448192,Survey,#c26ac21,Chicago (CBD)KaneSurvey
Chicago (CBD),Kendall,390,Model,#c26ac21,Chicago (CBD)KendallModel
Chicago (CBD),Kendall,1686.885699,Survey,#c26ac21,Chicago (CBD)KendallSurvey
Chicago (CBD),Lake,2520,Model,#c26ac21,Chicago (CBD)LakeModel
Chicago (CBD),Lake,17146.89905,Survey,#c26ac21,Chicago (CBD)LakeSurvey
Chicago (CBD),McHenry,250,Model,#c26ac21,Chicago (CBD)McHenryModel
Chicago (CBD),McHenry,3658.822113,Survey,#c26ac21,Chicago (CBD)McHenrySurvey
Chicago (CBD),Will,4750,Model,#c26ac21,Chicago (CBD)WillModel
Chicago (CBD),Will,12850.90457,Survey,#c26ac21,Chicago (CBD)WillSurvey
Chicago (N),Chicago (CBD),117360,Model,#d971b15,Chicago (N)Chicago (CBD)Model
Chicago (N),Chicago (CBD),108010.3003,Survey,#d971b15,Chicago (N)Chicago (CBD)Survey
Chicago (N),Chicago (N),345430,Model,#d971b15,Chicago (N)Chicago (N)Model
Chicago (N),Chicago (N),201480.2985,Survey,#d971b15,Chicago (N)Chicago (N)Survey
Chicago (N),Chicago (S),8840,Model,#d971b15,Chicago (N)Chicago (S)Model
Chicago (N),Chicago (S),19181.83769,Survey,#d971b15,Chicago (N)Chicago (S)Survey
Chicago (N),Chicago (W),48810,Model,#d971b15,Chicago (N)Chicago (W)Model
Chicago (N),Chicago (W),57684.32671,Survey,#d971b15,Chicago (N)Chicago (W)Survey
Chicago (N),Cook (N),76815,Model,#d971b15,Chicago (N)Cook (N)Model
Chicago (N),Cook (N),71365.92105,Survey,#d971b15,Chicago (N)Cook (N)Survey
Chicago (N),Cook (S),2240,Model,#d971b15,Chicago (N)Cook (S)Model
Chicago (N),Cook (S),7623.236523,Survey,#d971b15,Chicago (N)Cook (S)Survey
Chicago (N),Cook (W),26075,Model,#d971b15,Chicago (N)Cook (W)Model
Chicago (N),Cook (W),26849.64752,Survey,#d971b15,Chicago (N)Cook (W)Survey
Chicago (N),DuPage,10835,Model,#d971b15,Chicago (N)DuPageModel
Chicago (N),DuPage,14372.90813,Survey,#d971b15,Chicago (N)DuPageSurvey
Chicago (N),Kane,1085,Model,#d971b15,Chicago (N)KaneModel
Chicago (N),Kane,3806.000632,Survey,#d971b15,Chicago (N)KaneSurvey
Chicago (N),Kendall,75,Model,#d971b15,Chicago (N)KendallModel
Chicago (N),Kendall,0,Survey,#d971b15,Chicago (N)KendallSurvey
Chicago (N),Lake,3655,Model,#d971b15,Chicago (N)LakeModel
Chicago (N),Lake,14330.79526,Survey,#d971b15,Chicago (N)LakeSurvey
Chicago (N),McHenry,445,Model,#d971b15,Chicago (N)McHenryModel
Chicago (N),McHenry,2948.188399,Survey,#d971b15,Chicago (N)McHenrySurvey
Chicago (N),Will,745,Model,#d971b15,Chicago (N)WillModel
Chicago (N),Will,4538.010709,Survey,#d971b15,Chicago (N)WillSurvey
Chicago (S),Chicago (CBD),64520,Model,#8c2b83,Chicago (S)Chicago (CBD)Model
Chicago (S),Chicago (CBD),59201.12688,Survey,#8c2b83,Chicago (S)Chicago (CBD)Survey
Chicago (S),Chicago (N),10105,Model,#8c2b83,Chicago (S)Chicago (N)Model
Chicago (S),Chicago (N),18943.37777,Survey,#8c2b83,Chicago (S)Chicago (N)Survey
Chicago (S),Chicago (S),129740,Model,#8c2b83,Chicago (S)Chicago (S)Model
Chicago (S),Chicago (S),126696.5464,Survey,#8c2b83,Chicago (S)Chicago (S)Survey
Chicago (S),Chicago (W),38265,Model,#8c2b83,Chicago (S)Chicago (W)Model
Chicago (S),Chicago (W),43146.00727,Survey,#8c2b83,Chicago (S)Chicago (W)Survey
Chicago (S),Cook (N),1745,Model,#8c2b83,Chicago (S)Cook (N)Model
Chicago (S),Cook (N),10053.25476,Survey,#8c2b83,Chicago (S)Cook (N)Survey
Chicago (S),Cook (S),31040,Model,#8c2b83,Chicago (S)Cook (S)Model
Chicago (S),Cook (S),29479.70237,Survey,#8c2b83,Chicago (S)Cook (S)Survey
Chicago (S),Cook (W),8620,Model,#8c2b83,Chicago (S)Cook (W)Model
Chicago (S),Cook (W),13836.73942,Survey,#8c2b83,Chicago (S)Cook (W)Survey
Chicago (S),DuPage,2190,Model,#8c2b83,Chicago (S)DuPageModel
Chicago (S),DuPage,5607.378966,Survey,#8c2b83,Chicago (S)DuPageSurvey
Chicago (S),Kane,25,Model,#8c2b83,Chicago (S)KaneModel
Chicago (S),Kane,566.5817523,Survey,#8c2b83,Chicago (S)KaneSurvey
Chicago (S),Kendall,10,Model,#8c2b83,Chicago (S)KendallModel
Chicago (S),Kendall,579.11302,Survey,#8c2b83,Chicago (S)KendallSurvey
Chicago (S),Lake,75,Model,#8c2b83,Chicago (S)LakeModel
Chicago (S),Lake,1453.638435,Survey,#8c2b83,Chicago (S)LakeSurvey
Chicago (S),McHenry,0,Model,#8c2b83,Chicago (S)McHenryModel
Chicago (S),McHenry,130.2602923,Survey,#8c2b83,Chicago (S)McHenrySurvey
Chicago (S),Will,1620,Model,#8c2b83,Chicago (S)WillModel
Chicago (S),Will,5766.150773,Survey,#8c2b83,Chicago (S)WillSurvey
Chicago (W),Chicago (CBD),60310,Model,#848bd16,Chicago (W)Chicago (CBD)Model
Chicago (W),Chicago (CBD),40452.25539,Survey,#848bd16,Chicago (W)Chicago (CBD)Survey
Chicago (W),Chicago (N),45260,Model,#848bd16,Chicago (W)Chicago (N)Model
Chicago (W),Chicago (N),57152.71811,Survey,#848bd16,Chicago (W)Chicago (N)Survey
Chicago (W),Chicago (S),31135,Model,#848bd16,Chicago (W)Chicago (S)Model
Chicago (W),Chicago (S),41854.00374,Survey,#848bd16,Chicago (W)Chicago (S)Survey
Chicago (W),Chicago (W),154885,Model,#848bd16,Chicago (W)Chicago (W)Model
Chicago (W),Chicago (W),136105.2336,Survey,#848bd16,Chicago (W)Chicago (W)Survey
Chicago (W),Cook (N),4885,Model,#848bd16,Chicago (W)Cook (N)Model
Chicago (W),Cook (N),16447.13944,Survey,#848bd16,Chicago (W)Cook (N)Survey
Chicago (W),Cook (S),8860,Model,#848bd16,Chicago (W)Cook (S)Model
Chicago (W),Cook (S),16900.39047,Survey,#848bd16,Chicago (W)Cook (S)Survey
Chicago (W),Cook (W),28840,Model,#848bd16,Chicago (W)Cook (W)Model
Chicago (W),Cook (W),26920.12383,Survey,#848bd16,Chicago (W)Cook (W)Survey
Chicago (W),DuPage,5770,Model,#848bd16,Chicago (W)DuPageModel
Chicago (W),DuPage,17378.14725,Survey,#848bd16,Chicago (W)DuPageSurvey
Chicago (W),Kane,350,Model,#848bd16,Chicago (W)KaneModel
Chicago (W),Kane,542.4180728,Survey,#848bd16,Chicago (W)KaneSurvey
Chicago (W),Kendall,95,Model,#848bd16,Chicago (W)KendallModel
Chicago (W),Lake,465,Model,#848bd16,Chicago (W)LakeModel
Chicago (W),Lake,1456.138327,Survey,#848bd16,Chicago (W)LakeSurvey
Chicago (W),McHenry,20,Model,#848bd16,Chicago (W)McHenryModel
Chicago (W),McHenry,735.2060778,Survey,#848bd16,Chicago (W)McHenrySurvey
Chicago (W),Will,1695,Model,#848bd16,Chicago (W)WillModel
Chicago (W),Will,4400.174876,Survey,#848bd16,Chicago (W)WillSurvey
Cook (N),Chicago (CBD),13000,Model,#43c8ac,Cook (N)Chicago (CBD)Model
Cook (N),Chicago (CBD),35777.40079,Survey,#43c8ac,Cook (N)Chicago (CBD)Survey
Cook (N),Chicago (N),67460,Model,#43c8ac,Cook (N)Chicago (N)Model
Cook (N),Chicago (N),64038.75442,Survey,#43c8ac,Cook (N)Chicago (N)Survey
Cook (N),Chicago (S),1150,Model,#43c8ac,Cook (N)Chicago (S)Model
Cook (N),Chicago (S),11509.04069,Survey,#43c8ac,Cook (N)Chicago (S)Survey
Cook (N),Chicago (W),3990,Model,#43c8ac,Cook (N)Chicago (W)Model
Cook (N),Chicago (W),14888.60622,Survey,#43c8ac,Cook (N)Chicago (W)Survey
Cook (N),Cook (N),436545,Model,#43c8ac,Cook (N)Cook (N)Model
Cook (N),Cook (N),367812.8841,Survey,#43c8ac,Cook (N)Cook (N)Survey
Cook (N),Cook (S),540,Model,#43c8ac,Cook (N)Cook (S)Model
Cook (N),Cook (S),7085.967488,Survey,#43c8ac,Cook (N)Cook (S)Survey
Cook (N),Cook (W),35925,Model,#43c8ac,Cook (N)Cook (W)Model
Cook (N),Cook (W),36835.13008,Survey,#43c8ac,Cook (N)Cook (W)Survey
Cook (N),DuPage,23685,Model,#43c8ac,Cook (N)DuPageModel
Cook (N),DuPage,39279.67628,Survey,#43c8ac,Cook (N)DuPageSurvey
Cook (N),Kane,9480,Model,#43c8ac,Cook (N)KaneModel
Cook (N),Kane,7317.166067,Survey,#43c8ac,Cook (N)KaneSurvey
Cook (N),Kendall,80,Model,#43c8ac,Cook (N)KendallModel
Cook (N),Lake,57495,Model,#43c8ac,Cook (N)LakeModel
Cook (N),Lake,57642.94966,Survey,#43c8ac,Cook (N)LakeSurvey
Cook (N),McHenry,9660,Model,#43c8ac,Cook (N)McHenryModel
Cook (N),McHenry,14713.98642,Survey,#43c8ac,Cook (N)McHenrySurvey
Cook (N),Will,615,Model,#43c8ac,Cook (N)WillModel
Cook (N),Will,7724.711758,Survey,#43c8ac,Cook (N)WillSurvey
