root,node,count,Category,color,
All,All,4883400,Model,,
All,All,4842450,Survey,,
All,Chicago (CBD),453825,Model,,
All,Chicago (CBD),509127.8932,Survey,,
All,DuPage,699050,Model,,
All,DuPage,603781.7232,Survey,,
All,Kane,253515,Model,,
All,Kane,222358.5519,Survey,,
All,Kendall,40210,Model,,
All,Kendall,18448.94081,Survey,,
All,Lake,381255,Model,,
All,Lake,422379.0598,Survey,,
All,McHenry,123970,Model,,
All,McHenry,172345.7034,Survey,,
All,Chicago (North),605500,Model,,
All,Chicago (North),500931.2192,Survey,,
All,Cook (North),681530,Model,,
All,Cook (North),683687.4972,Survey,,
All,Chicago (South),255255,Model,,
All,Chicago (South),307509.6458,Survey,,
All,Cook (South),345805,Model,,
All,Cook (South),348555.1121,Survey,,
All,Chicago (West),338765,Model,,
All,Chicago (West),360103.7466,Survey,,
All,Cook (West),427635,Model,,
All,Cook (West),400597.1678,Survey,,
All,Will,277085,Model,,
All,Will,292623.445,Survey,,
Chicago (CBD),All,371385,Model,,
Chicago (CBD),All,447298.4133,Survey,,
Chicago (CBD),Chicago (CBD),124295,Model,#c26ac21,Chicago (CBD)Chicago (CBD)Model
Chicago (CBD),Chicago (CBD),115816.5885,Survey,#c26ac21,Chicago (CBD)Chicago (CBD)Survey
Chicago (CBD),DuPage,13870,Model,#c26ac21,Chicago (CBD)DuPageModel
Chicago (CBD),DuPage,33447.77967,Survey,#c26ac21,Chicago (CBD)DuPageSurvey
Chicago (CBD),Kane,2130,Model,#c26ac21,Chicago (CBD)KaneModel
Chicago (CBD),Kane,6821.448192,Survey,#c26ac21,Chicago (CBD)KaneSurvey
Chicago (CBD),Kendall,390,Model,#c26ac21,Chicago (CBD)KendallModel
Chicago (CBD),Kendall,1686.885699,Survey,#c26ac21,Chicago (CBD)KendallSurvey
Chicago (CBD),Lake,2520,Model,#c26ac21,Chicago (CBD)LakeModel
Chicago (CBD),Lake,17146.89905,Survey,#c26ac21,Chicago (CBD)LakeSurvey
Chicago (CBD),McHenry,250,Model,#c26ac21,Chicago (CBD)McHenryModel
Chicago (CBD),McHenry,3658.822113,Survey,#c26ac21,Chicago (CBD)McHenrySurvey
Chicago (CBD),Chicago (North),89420,Model,#c26ac21,Chicago (CBD)Chicago (North)Model
Chicago (CBD),Chicago (North),87627.86554,Survey,#c26ac21,Chicago (CBD)Chicago (North)Survey
Chicago (CBD),Cook (North),9965,Model,#c26ac21,Chicago (CBD)Cook (North)Model
Chicago (CBD),Cook (North),31608.54956,Survey,#c26ac21,Chicago (CBD)Cook (North)Survey
Chicago (CBD),Chicago (South),45305,Model,#c26ac21,Chicago (CBD)Chicago (South)Model
Chicago (CBD),Chicago (South),47664.25337,Survey,#c26ac21,Chicago (CBD)Chicago (South)Survey
Chicago (CBD),Cook (South),12825,Model,#c26ac21,Chicago (CBD)Cook (South)Model
Chicago (CBD),Cook (South),28258.28908,Survey,#c26ac21,Chicago (CBD)Cook (South)Survey
Chicago (CBD),Chicago (West),43440,Model,#c26ac21,Chicago (CBD)Chicago (West)Model
Chicago (CBD),Chicago (West),34802.62475,Survey,#c26ac21,Chicago (CBD)Chicago (West)Survey
Chicago (CBD),Cook (West),22225,Model,#c26ac21,Chicago (CBD)Cook (West)Model
Chicago (CBD),Cook (West),25907.50319,Survey,#c26ac21,Chicago (CBD)Cook (West)Survey
