Index, Model , Survey ,Category,Description,Title,order
I-190,12503.69152,12308.01073,I-190,I-190,I-190 truck,16
I-90 Skyway,78589.95358,79591.58498,I-90 Skyway,I-90 Skyway,I-90 Skyway truck,15
I-90 E of IL-31 (toll),141155.6323,134198.8756,I-90 E of IL-31 (toll),I-90 E of IL-31 (toll),I-90 E of IL-31 (toll) truck,14
I-55 W of I-355,626474.7129,618835.7298,I-55 W of I-355,I-55 W of I-355,I-55 W of I-355 truck,13
I-57,364221.4149,358668.9938,I-57,I-57,I-57 truck,12
I-355 (toll),214939.6065,209920.4594,I-355 (toll),I-355 (toll),I-355 (toll) truck,11
I-294 N of I-290 (toll),267580.7046,263762.5427,I-294 N of I-290 (toll),I-294 N of I-290 (toll),I-294 N of I-290 (toll) truck,10
I-55 E of I-355,460138.6622,458971.3575,I-55 E of I-355,I-55 E of I-355,I-55 E of I-355 truck,9
I-90 W of IL-31 (toll),207734.2596,197421.1471,I-90 W of IL-31 (toll),I-90 W of IL-31 (toll),I-90 W of IL-31 (toll) truck,8
I-80 & I-80/I-94,949723.2645,951553.4026,I-80 & I-80/I-94,I-80 & I-80/I-94,I-80 & I-80/I-94 truck,7
I-294 S of I-290 (toll),440239.7949,429026.7286,I-294 S of I-290 & I-80/294 (toll),I-294 S of I-290 & I-80/294 (toll),I-294 S of I-290 & I-80/294 (toll) truck,6
I-88 & I-88/294 (toll),247960.2571,237776.3465,I-88 & I-88/294 (toll),I-88 & I-88/294 (toll),I-88 & I-88/294 (toll) truck,5
I-90/94,516329.212,514231.2223,I-90/94,I-90/94,I-90/94 truck,4
I-94,955508.5206,956107.3355,I-94,I-94,I-94 truck,3
I-94 (toll),372606.9398,366006.9537,I-94 (toll),I-94 (toll),I-94 (toll) truck,2
I-290,846772.3631,841908.5719,I-290,I-290,I-290 truck,1
