Index,Model 01,Survey 01,Category,Description,Title,Portion
Drive alone free,13271835,13383241,All,All Drive alone free trips,All,100.0%
Shared ride 2 free,5680670,6525173,All,All Shared ride 2 free trips,All,100.0%
Shared ride 3+ free,5146245,5496839,All,All Shared ride 3+ free trips,All,100.0%
Walk,4420785,3053530,All,All Walk trips,All,100.0%
Drive alone free,3929950,3804364,Work,work Drive alone free trips,Work,18.7%
Drive alone free,2463615,2458145,Shop,shop Drive alone free trips,Shop,18.4%
Drive alone free,1835220,2170181,Maintenance,maintenance Drive alone free trips,Maintenance,13.3%
Transit,1626340,1523625,All,All Walk to transit trips,All,100.0%
Drive alone free,1596745,1343359,Escort,escort Drive alone free trips,Escort,11.8%
Shared ride 2 free,1465530,1382379,Shop,shop Shared ride 2 free trips,Shop,18.4%
Shared ride 3+ free,1099090,1199544,Escort,escort Shared ride 3+ free trips,Escort,11.8%
Shared ride 3+ free,1005765,972954,Shop,shop Shared ride 3+ free trips,Shop,18.4%
Shared ride 2 free,996405,1031332,Maintenance,maintenance Shared ride 2 free trips,Maintenance,13.3%
Drive alone free,984915,1023730,Discretionary,discretionary Drive alone free trips,Discretionary,10.7%
Shared ride 3+ free,951970,865383,Discretionary,discretionary Shared ride 3+ free trips,Discretionary,10.7%
School bus,878250,752635,All,All School bus trips,All,100.0%
School bus,878250,701437,School,school School bus trips,School,8.4%
Walk,850740,534471,School,school Walk trips,School,8.4%
Drive alone free,833830,876801,Eating Out,eatingout Drive alone free trips,Eating Out,7.6%
Drive alone free,775065,738893,Work-based,work-based Drive alone free trips,Work-based,3.6%
Shared ride 2 free,747840,834218,Discretionary,discretionary Shared ride 2 free trips,Discretionary,10.7%
Transit,690020,706519,Work,work Walk to transit trips,Work,18.7%
Walk,643170,515354,Shop,shop Walk trips,Shop,18.4%
Walk,626485,370217,Maintenance,maintenance Walk trips,Maintenance,13.3%
Shared ride 3+ free,595670,628749,Eating Out,eatingout Shared ride 3+ free trips,Eating Out,7.6%
Shared ride 2 free,594370,665455,Eating Out,eatingout Shared ride 2 free trips,Eating Out,7.6%
Drive alone free,589925,701336,Visiting,visiting Drive alone free trips,Visiting,6.2%
Walk,548765,310484,Work,work Walk trips,Work,18.7%
Walk,544980,426040,Discretionary,discretionary Walk trips,Discretionary,10.7%
Shared ride 3+ free,538220,792900,Maintenance,maintenance Shared ride 3+ free trips,Maintenance,13.3%
Shared ride 2 free,507315,1175271,Escort,escort Shared ride 2 free trips,Escort,11.8%
Shared ride 3+ free,470855,423868,Visiting,visiting Shared ride 3+ free trips,Visiting,6.2%
Shared ride 2 free,455800,473413,Visiting,visiting Shared ride 2 free trips,Visiting,6.2%
Shared ride 2 free,426485,345304,Work,work Shared ride 2 free trips,Work,18.7%
Walk,370655,263474,Escort,escort Walk trips,Escort,11.8%
Shared ride 2 free,365285,530305,School,school Shared ride 2 free trips,School,8.4%
Shared ride 3+ free,363215,511859,School,school Shared ride 3+ free trips,School,8.4%
Bike,329390,262120,All,All Bike trips,All,100.0%
Walk,318255,271809,Visiting,visiting Walk trips,Visiting,6.2%
Drive alone pay,256355,389394,All,All Drive alone pay trips,All,100.0%
Walk,255215,273748,Eating Out,eatingout Walk trips,Eating Out,7.6%
Transit,203775,144911,Shop,shop Walk to transit trips,Shop,18.4%
Walk,191010,50014,Work-based,work-based Walk trips,Work-based,3.6%
Drive alone free,176875,173196,University,university Drive alone free trips,University,1.2%
Transit,135485,201072,Maintenance,maintenance Walk to transit trips,Maintenance,13.3%
Transit,134070,46890,Escort,escort Walk to transit trips,Escort,11.8%
Transit,113370,45197,Eating Out,eatingout Walk to transit trips,Eating Out,7.6%
Bike,112525,64542,Work,work Bike trips,Work,18.7%
Drive alone pay,112465,220216,Work,work Drive alone pay trips,Work,18.7%
Transit,105625,96580,Discretionary,discretionary Walk to transit trips,Discretionary,10.7%
Taxi,99770,70019,All,All Taxi trips,All,100.0%
Shared ride 3+ free,92325,77540,Work,work Shared ride 3+ free trips,Work,18.7%
Drive alone free,85695,93236,School,school Drive alone free trips,School,8.4%
Transit,78530,108980,School,school Walk to transit trips,School,8.4%
Walk,71510,37919,University,university Walk trips,University,1.2%
Transit,70565,34745,Work-based,work-based Walk to transit trips,Work-based,3.6%
Shared ride 2 free,69495,57125,Work-based,work-based Shared ride 2 free trips,Work-based,3.6%
Transit,65320,69803,Visiting,visiting Walk to transit trips,Visiting,6.2%
Shared ride 3+ pay,62510,20558,All,All Shared ride 3+ pay trips,All,100.0%
