Index,Model 01,Survey 01,Category,Description,Title
1,345490,244345.535,1,Work trips to 1,1
1,86530,89246.81509,2N,Work trips to 2N,2N
1,39670,38061.17777,2NW,Work trips to 2NW,2NW
1,67540,60879.25082,2S,Work trips to 2S,2S
1,35130,33901.97153,2SW,Work trips to 2SW,2SW
1,25820,28720.83311,2W,Work trips to 2W,2W
1,20585,16749.07822,2WNW,Work trips to 2WNW,2WNW
1,27605,28873.51037,2WSW,Work trips to 2WSW,2WSW
1,6950,7437.167409,3IN,Work trips to 3IN,3IN
1,3340,10369.64102,3N,Work trips to 3N,3N
1,2595,8838.981999,3NW,Work trips to 3NW,3NW
1,8490,7831.441319,3S,Work trips to 3S,3S
1,9765,19317.62942,3SW,Work trips to 3SW,3SW
1,7000,14603.58872,3W,Work trips to 3W,3W
1,3620,9392.347965,3WNW,Work trips to 3WNW,3WNW
1,9980,29910.56084,3WSW,Work trips to 3WSW,3WSW
1,2600,10558.32237,4N,Work trips to 4N,4N
1,2175,15612.64159,4NW,Work trips to 4NW,4NW
1,4975,9012.730906,4SW,Work trips to 4SW,4SW
1,970,2097.508007,4W,Work trips to 4W,4W
1,565,1355.086449,4WNW,Work trips to 4WNW,4WNW
1,1445,5598.157508,4WSW,Work trips to 4WSW,4WSW
1,105,181.9309619,XIL,Work trips to XIL,XIL
1,550,2905.67326,XIN,Work trips to XIN,XIN
1,315,106479.5149,XWI,Work trips to XWI,XWI
2N,103025,178832.9926,1,Work trips to 1,1
2N,247275,28840.49077,2N,Work trips to 2N,2N
2N,41250,9291.901479,2NW,Work trips to 2NW,2NW
2N,2500,3379.56156,2S,Work trips to 2S,2S
2N,1565,6084.175774,2SW,Work trips to 2SW,2SW
2N,3575,7669.283462,2W,Work trips to 2W,2W
2N,7050,8565.871448,2WNW,Work trips to 2WNW,2WNW
2N,1550,574.8132613,2WSW,Work trips to 2WSW,2WSW
2N,215,24019.47186,3IN,Work trips to 3IN,3IN
2N,15655,6029.238975,3N,Work trips to 3N,3N
2N,4675,895.8650495,3NW,Work trips to 3NW,3NW
2N,125,3667.629139,3S,Work trips to 3S,3S
2N,310,4128.290905,3SW,Work trips to 3SW,3SW
2N,1075,2934.110846,3W,Work trips to 3W,3W
2N,3560,2030.893966,3WNW,Work trips to 3WNW,3WNW
2N,405,5331.397633,3WSW,Work trips to 3WSW,3WSW
2N,3465,8242.338314,4N,Work trips to 4N,4N
2N,2930,353.0596357,4NW,Work trips to 4NW,4NW
2N,95,529.9899785,4SW,Work trips to 4SW,4SW
2N,55,96.271595,4W,Work trips to 4W,4W
2N,315,189.80583,4WNW,Work trips to 4WNW,4WNW
2N,20,39387.26693,4WSW,Work trips to 4WSW,4WSW
2N,25,25796.27686,XIL,Work trips to XIL,XIL
2N,25,70284.59549,XIN,Work trips to XIN,XIN
2N,320,2570.380452,XWI,Work trips to XWI,XWI
2NW,46485,8596.513659,1,Work trips to 1,1
2NW,41450,7556.266561,2N,Work trips to 2N,2N
2NW,141990,16065.11261,2NW,Work trips to 2NW,2NW
2NW,2105,4877.410193,2S,Work trips to 2S,2S
2NW,1650,491.94649,2SW,Work trips to 2SW,2SW
2NW,11480,8081.025978,2W,Work trips to 2W,2W
2NW,22315,19177.00756,2WNW,Work trips to 2WNW,2WNW
2NW,3850,590.6400044,2WSW,Work trips to 2WSW,2WSW
2NW,175,1612.135035,3IN,Work trips to 3IN,3IN
2NW,9240,6682.093803,3N,Work trips to 3N,3N
2NW,20460,18154.04878,3NW,Work trips to 3NW,3NW
2NW,155,4857.141203,3S,Work trips to 3S,3S
2NW,1135,1912.785607,3SW,Work trips to 3SW,3SW
2NW,5685,11522.1512,3W,Work trips to 3W,3W
2NW,16820,2437.946645,3WNW,Work trips to 3WNW,3WNW
2NW,2175,352.3179411,3WSW,Work trips to 3WSW,3WSW
2NW,2430,1714.282473,4N,Work trips to 4N,4N
2NW,7535,271.6808209,4NW,Work trips to 4NW,4NW
2NW,285,24.02957,4SW,Work trips to 4SW,4SW
2NW,350,75238.98092,4W,Work trips to 4W,4W
2NW,1530,9817.279475,4WNW,Work trips to 4WNW,4WNW
2NW,310,2540.596525,4WSW,Work trips to 4WSW,4WSW
2NW,55,132684.4273,XIL,Work trips to XIL,XIL
2NW,10,21196.10551,XIN,Work trips to XIN,XIN
2NW,215,8381.180632,XWI,Work trips to XWI,XWI
2S,82385,3551.120987,1,Work trips to 1,1
2S,2860,6240.898679,2N,Work trips to 2N,2N
