Index,Model,Survey,Category,Description,Title,Portion
DuPage,463960,310646.1774,DuPage,Work trips to DuPage County,DuPage County,13.8%
DuPage,34910,41302.61943,Kane,Work trips to DuPage County,DuPage County,13.8%
DuPage,7925,6638.309258,Kendall,Work trips to DuPage County,DuPage County,13.8%
DuPage,16680,39057.01481,CBD,Work trips to DuPage County,DuPage County,13.8%
DuPage,1900,11234.357,Lake,Work trips to DuPage County,DuPage County,13.8%
DuPage,1360,2077.427926,McHenry,Work trips to DuPage County,DuPage County,13.8%
DuPage,11375,14688.05973,NChicago,Work trips to DuPage County,DuPage County,13.8%
DuPage,24625,40647.22813,NCook,Work trips to DuPage County,DuPage County,13.8%
DuPage,1615,5081.288454,SChicago,Work trips to DuPage County,DuPage County,13.8%
DuPage,6305,10091.84251,SCook,Work trips to DuPage County,DuPage County,13.8%
DuPage,5460,14552.17875,WChicago,Work trips to DuPage County,DuPage County,13.8%
DuPage,61050,56197.11252,WCook,Work trips to DuPage County,DuPage County,13.8%
DuPage,39150,39406.704,Will,Work trips to DuPage County,DuPage County,13.8%
Kane,39855,49791.88887,DuPage,Work trips to Kane County,Kane County,5.3%
Kane,168885,129257.8687,Kane,Work trips to Kane County,Kane County,5.3%
Kane,7545,2690.404513,Kendall,Work trips to Kane County,Kane County,5.3%
Kane,2400,5730.294701,CBD,Work trips to Kane County,Kane County,5.3%
Kane,2155,5457.404767,Lake,Work trips to Kane County,Kane County,5.3%
Kane,9600,10995.29565,McHenry,Work trips to Kane County,Kane County,5.3%
Kane,1515,3494.137415,NChicago,Work trips to Kane County,Kane County,5.3%
Kane,12300,14756.90703,NCook,Work trips to Kane County,Kane County,5.3%
Kane,45,0,SChicago,Work trips to Kane County,Kane County,5.3%
Kane,50,2151.841395,SCook,Work trips to Kane County,Kane County,5.3%
Kane,465,791.3689478,WChicago,Work trips to Kane County,Kane County,5.3%
Kane,12215,8855.681527,WCook,Work trips to Kane County,Kane County,5.3%
Kane,3800,6708.037787,Will,Work trips to Kane County,Kane County,5.3%
Kendall,9895,6698.939047,DuPage,Work trips to Kendall County,Kendall County,0.9%
Kendall,8305,1317.354917,Kane,Work trips to Kendall County,Kendall County,0.9%
Kendall,19525,4170.722014,Kendall,Work trips to Kendall County,Kendall County,0.9%
Kendall,440,1163.790899,CBD,Work trips to Kendall County,Kendall County,0.9%
Kendall,15,0,Lake,Work trips to Kendall County,Kendall County,0.9%
Kendall,5,0,McHenry,Work trips to Kendall County,Kendall County,0.9%
Kendall,80,173.094136,NChicago,Work trips to Kendall County,Kendall County,0.9%
Kendall,105,248.950875,NCook,Work trips to Kendall County,Kendall County,0.9%
Kendall,10,579.11302,SChicago,Work trips to Kendall County,Kendall County,0.9%
Kendall,110,307.8369462,SCook,Work trips to Kendall County,Kendall County,0.9%
Kendall,130,989.5861702,WChicago,Work trips to Kendall County,Kendall County,0.9%
Kendall,690,264.0479752,WCook,Work trips to Kendall County,Kendall County,0.9%
Kendall,4310,1490.096236,Will,Work trips to Kendall County,Kendall County,0.9%
CBD,13870,33447.77967,DuPage,Work trips to CBD,CBD,7.6%
CBD,2130,6821.448192,Kane,Work trips to CBD,CBD,7.6%
CBD,390,1686.885699,Kendall,Work trips to CBD,CBD,7.6%
CBD,124295,115816.5885,CBD,Work trips to CBD,CBD,7.6%
CBD,2520,17146.89905,Lake,Work trips to CBD,CBD,7.6%
CBD,250,3658.822113,McHenry,Work trips to CBD,CBD,7.6%
CBD,89420,87627.86554,NChicago,Work trips to CBD,CBD,7.6%
CBD,9965,31608.54956,NCook,Work trips to CBD,CBD,7.6%
CBD,45305,47664.25337,SChicago,Work trips to CBD,CBD,7.6%
CBD,12825,28258.28908,SCook,Work trips to CBD,CBD,7.6%
CBD,43440,34802.62475,WChicago,Work trips to CBD,CBD,7.6%
CBD,22225,25907.50319,WCook,Work trips to CBD,CBD,7.6%
CBD,4750,12850.90457,Will,Work trips to CBD,CBD,7.6%
Lake,1850,12304.22099,DuPage,Work trips to Lake County,Lake County,7.7%
Lake,1635,4868.654379,Kane,Work trips to Lake County,Lake County,7.7%
Lake,5,103.1892874,Kendall,Work trips to Lake County,Lake County,7.7%
Lake,2985,19771.82652,CBD,Work trips to Lake County,Lake County,7.7%
Lake,292880,288142.0191,Lake,Work trips to Lake County,Lake County,7.7%
Lake,14195,15556.11399,McHenry,Work trips to Lake County,Lake County,7.7%
Lake,3590,10598.3491,NChicago,Work trips to Lake County,Lake County,7.7%
Lake,57200,62022.56915,NCook,Work trips to Lake County,Lake County,7.7%
