Index,Model 01,Survey 01,Category,Description,Title
1 Mile,273155,338175,all,All trips 1 Mile,All
10 Miles,1679560,1454172,all,All trips 10 Miles,All
15 Miles,949695,906999,all,All trips 15 Miles,All
20 Miles,521105,590444,all,All trips 20 Miles,All
25 Miles,306315,414558,all,All trips 25 Miles,All
30 Miles,183710,306444,all,All trips 30 Miles,All
30 Miles,213095,523415,all,All trips 30 Miles,All
5 Miles,2092115,1455017,all,All trips 5 Miles,All
1 Mile,4545,6860.749909,Bike,Bike trips 1 Mile,Bike Trips
10 Miles,47570,25899.60843,Bike,Bike trips 10 Miles,Bike Trips
15 Miles,14325,5533.169082,Bike,Bike trips 15 Miles,Bike Trips
20 Miles,40,499.9609835,Bike,Bike trips 20 Miles,Bike Trips
5 Miles,52735,43132.87492,Bike,Bike trips 5 Miles,Bike Trips
1 Mile,1110,545.7561388,dtransit,Drive to transit trips 1 Mile,Drive to transit Trips
10 Miles,27180,12807.03266,dtransit,Drive to transit trips 10 Miles,Drive to transit Trips
15 Miles,17895,18516.29964,dtransit,Drive to transit trips 15 Miles,Drive to transit Trips
20 Miles,8515,19806.67554,dtransit,Drive to transit trips 20 Miles,Drive to transit Trips
25 Miles,5290,12197.20668,dtransit,Drive to transit trips 25 Miles,Drive to transit Trips
30 Miles,5440,24326.24828,dtransit,Drive to transit trips 30 Miles,Drive to transit Trips
30 Miles,15050,52333.17814,dtransit,Drive to transit trips 30 Miles,Drive to transit Trips
5 Miles,12650,2002.03899,dtransit,Drive to transit trips 5 Miles,Drive to transit Trips
1 Mile,7310,14750.80512,hov2free,Shared ride 2 free trips 1 Mile,Shared ride 2 free Trips
10 Miles,139140,100378.1018,hov2free,Shared ride 2 free trips 10 Miles,Shared ride 2 free Trips
15 Miles,85370,54327.8632,hov2free,Shared ride 2 free trips 15 Miles,Shared ride 2 free Trips
20 Miles,49875,32145.29667,hov2free,Shared ride 2 free trips 20 Miles,Shared ride 2 free Trips
25 Miles,29145,13246.01103,hov2free,Shared ride 2 free trips 25 Miles,Shared ride 2 free Trips
30 Miles,16875,12799.399,hov2free,Shared ride 2 free trips 30 Miles,Shared ride 2 free Trips
30 Miles,17060,21333.93845,hov2free,Shared ride 2 free trips 30 Miles,Shared ride 2 free Trips
5 Miles,111440,121842.762,hov2free,Shared ride 2 free trips 5 Miles,Shared ride 2 free Trips
10 Miles,315,2311.39323,hov2pay,Shared ride 2 pay trips 10 Miles,Shared ride 2 pay Trips
15 Miles,825,6742.647824,hov2pay,Shared ride 2 pay trips 15 Miles,Shared ride 2 pay Trips
20 Miles,1155,1966.062127,hov2pay,Shared ride 2 pay trips 20 Miles,Shared ride 2 pay Trips
25 Miles,1425,345.0369143,hov2pay,Shared ride 2 pay trips 25 Miles,Shared ride 2 pay Trips
30 Miles,2525,1858.106376,hov2pay,Shared ride 2 pay trips 30 Miles,Shared ride 2 pay Trips
30 Miles,995,1883.705627,hov2pay,Shared ride 2 pay trips 30 Miles,Shared ride 2 pay Trips
5 Miles,10,0,hov2pay,Shared ride 2 pay trips 5 Miles,Shared ride 2 pay Trips
1 Mile,1290,1504.646704,hov3free,Shared ride 3+ free trips 1 Mile,Shared ride 3+ free Trips
