Index,Model 01,Survey 01,Category,Description,Title,Portion
Less than 2.5 Mile,1245820,671736.4568,all,All trips Less than 1 Mile,All,100.00%
2.5-5 Mile,1190835,873411.252,all,All trips  1-5 Mile,All,100.00%
5-10 Miles,1512125,1299488.959,all,All trips 5-10 Miles,All,100.00%
10-15 Miles,863390,838209.9007,all,All trips 10-15 Miles,All,100.00%
15-20 Miles,476325,532000.2979,all,All trips 15-20 Miles,All,100.00%
20-25 Miles,278370,391059.0384,all,All trips 20-25 Miles,All,100.00%
25-30 Miles,171700,265320.0561,all,All trips 25-30 Miles,All,100.00%
30 Miles or More,201510,480246.9119,all,All trips 30 Miles or More,All,100.00%
Less than 2.5 Mile,31270,16336.50941,bike,Bike trips Less than 1 Mile,Bike,1.90%
2.5-5 Mile,28365,22036.42801,bike,Bike trips  1-5 Mile,Bike,1.90%
5-10 Miles,41140,18855.2845,bike,Bike trips 5-10 Miles,Bike,1.90%
10-15 Miles,11695,4722.32326,bike,Bike trips 10-15 Miles,Bike,1.90%
15-20 Miles,55,499.9609835,bike,Bike trips 15-20 Miles,Bike,1.90%
20-25 Miles,0,938.0838573,bike,Bike trips 20-25 Miles,Bike,1.90%
25-30 Miles,0,522.6408093,bike,Bike trips 25-30 Miles,Bike,1.90%
30 Miles or More,0,217.6140856,bike,Bike trips 30 Miles or More,Bike,1.90%
Less than 2.5 Mile,52295,39530.37896,hov2free,Shared ride 2 (non-toll) trips Less than 1 Mile,Shared ride 2 (non-toll),7.20%
2.5-5 Mile,71945,75172.01579,hov2free,Shared ride 2 (non-toll) trips  1-5 Mile,Shared ride 2 (non-toll),7.20%
5-10 Miles,122385,91274.53134,hov2free,Shared ride 2 (non-toll) trips 5-10 Miles,Shared ride 2 (non-toll),7.20%
10-15 Miles,76320,53971.49868,hov2free,Shared ride 2 (non-toll) trips 10-15 Miles,Shared ride 2 (non-toll),7.20%
15-20 Miles,45550,31121.22514,hov2free,Shared ride 2 (non-toll) trips 15-20 Miles,Shared ride 2 (non-toll),7.20%
20-25 Miles,26515,16066.16874,hov2free,Shared ride 2 (non-toll) trips 20-25 Miles,Shared ride 2 (non-toll),7.20%
25-30 Miles,15435,10827.30363,hov2free,Shared ride 2 (non-toll) trips 25-30 Miles,Shared ride 2 (non-toll),7.20%
30 Miles or More,16040,18975.62134,hov2free,Shared ride 2 (non-toll) trips 30 Miles or More,Shared ride 2 (non-toll),7.20%
Less than 2.5 Mile,0,0,hov2pay,Shared ride 2 (toll) trips  Less than 1 mile,Shared ride 2 (toll),0.10%
2.5-5 Mile,10,0,hov2pay,Shared ride 2 (toll) trips  1-5 Mile,Shared ride 2 (toll),0.10%
5-10 Miles,300,2311.39323,hov2pay,Shared ride 2 (toll) trips 5-10 Miles,Shared ride 2 (toll),0.10%
10-15 Miles,650,5538.230787,hov2pay,Shared ride 2 (toll) trips 10-15 Miles,Shared ride 2 (toll),0.10%
15-20 Miles,1025,2140.272847,hov2pay,Shared ride 2 (toll) trips 15-20 Miles,Shared ride 2 (toll),0.10%
20-25 Miles,1035,345.0369143,hov2pay,Shared ride 2 (toll) trips 20-25 Miles,Shared ride 2 (toll),0.10%
25-30 Miles,810,1691.92664,hov2pay,Shared ride 2 (toll) trips 25-30 Miles,Shared ride 2 (toll),0.10%
30 Miles or More,2075,1957.773786,hov2pay,Shared ride 2 (toll) trips 30 Miles or More,Shared ride 2 (toll),0.10%
Less than 2.5 Mile,9120,9173.692418,hov3free,Shared ride 3+ (non-toll) trips Less than 1 Mile,Shared ride 3+ (non-toll),1.60%
2.5-5 Mile,12725,18644.1321,hov3,Shared Ride 3+  trips  1-5 Mile,Shared Ride 3+ ,1.60%
5-10 Miles,24440,21967.96543,hov3,Shared Ride 3+  trips 5-10 Miles,Shared Ride 3+ ,1.60%
10-15 Miles,17770,8712.020016,hov3,Shared Ride 3+  trips 10-15 Miles,Shared Ride 3+ ,1.60%
15-20 Miles,11980,8296.937982,hov3,Shared Ride 3+  trips 15-20 Miles,Shared Ride 3+ ,1.60%
20-25 Miles,7300,572.6624562,hov3,Shared Ride 3+  trips 20-25 Miles,Shared Ride 3+ ,1.60%
25-30 Miles,5340,1051.577054,hov3,Shared Ride 3+  trips 25-30 Miles,Shared Ride 3+ ,1.60%
30 Miles or More,6955,3430.379818,hov3,Shared Ride 3+  trips 30 Miles or More,Shared Ride 3+ ,1.60%
Less than 2.5 Mile,642555,342115.3253,sovfree,Drive Alone (non-toll) trips Less than 1 Mile,Drive Alone (non-toll),66.20%
2.5-5 Mile,785330,649687.1069,sovfree,Drive Alone (non-toll) trips  1-5 Mile,Drive Alone (non-toll),66.20%
