res_gs,work_gs,Residence,Workplace,FREQUENCY,SUM_Walked,SUM_Bicycle,SUM_Car_truck_or_van_Drove_alone,SUM_Car_truck_or_van_In_a_2_person_carpool,SUM_Car_truck_or_van_In_a_3_person_carpool,SUM_Car_truck_or_van_In_a_4_person_carpool,SUM_Car_truck_or_van_In_a_5_or_6_person_carpool,SUM_Car_truck_or_van_In_a_7_or_more_person_carpool,SUM_Motorcycle,SUM_Taxicab,SUM_Bus_or_trolley_bus,SUM_Subway_or_elevated,SUM_Railroad,SUM_Streetcar_or_trolley_car,SUM_Ferryboat,SUM_Other_method,SUM_Worked_at_home,,SUM_Total_means_of_transportation
gs01,gs01,Central,Central,2560,35182,4483,23586,4625,663,261,76,154,183,3729,23248,23782,759,136,30,932,15463,,121919
gs01,gs02,Central,Inner North,727,931,376,5610,371,77,14,15,25,10,204,786,1305,358,0,0,37,0,,10119
gs01,gs03,Central,Inner Northwest,399,270,56,3646,271,40,14,48,4,8,65,291,1429,125,0,25,19,0,,6322
gs01,gs04,Central,Inner South,408,467,228,4234,586,119,0,10,24,4,145,896,443,40,10,0,35,0,,7240
gs01,gs05,Central,Inner Southwest,306,133,34,3487,288,74,20,0,15,0,0,389,313,4,0,0,48,0,,4820
gs01,gs06,Central,Inner West,253,198,62,2956,163,14,40,44,4,4,0,129,271,0,0,0,10,0,,3891
gs01,gs07,Central,Inner Upper West,124,106,44,1088,115,54,0,0,0,0,15,224,75,45,0,0,10,0,,1777
gs01,gs08,Central,Inner Lower West,212,127,109,2079,187,55,50,0,0,4,4,271,45,10,20,0,0,0,,2973
gs01,gs09,Central,Northwest Indiana,51,30,0,762,130,39,0,0,15,0,0,0,0,0,0,0,4,0,,981
gs01,gs10,Central,Middle North,173,123,0,1812,92,0,0,0,4,0,40,4,83,350,0,0,24,0,,2532
gs01,gs11,Central,Middle Northwest,192,246,32,1558,151,28,4,50,0,0,35,50,81,126,0,0,84,0,,2455
gs01,gs12,Central,Middle/Outer South,65,44,4,742,4,19,30,4,20,0,45,4,15,85,0,0,0,0,,1016
gs01,gs13,Central,Middle Southwest,146,265,43,1577,107,39,20,0,20,10,0,90,0,0,0,0,0,0,,2177
gs01,gs14,Central,Middle West,151,39,25,1869,49,8,15,20,0,0,0,0,103,88,0,0,4,0,,2220
gs01,gs15,Central,Middle Upper West,157,106,37,1496,20,29,0,8,45,0,15,25,85,120,0,0,45,0,,2037
gs01,gs16,Central,Middle Lower West,252,124,8,3478,104,14,8,0,39,0,29,50,85,280,0,0,0,0,,4229
gs01,gs17,Central,Outer North,108,0,0,1074,64,0,20,0,0,0,4,10,83,281,0,0,0,0,,1532
gs01,gs18,Central,Outer Northwest,107,74,0,1078,39,45,14,0,0,0,0,74,43,263,0,0,20,0,,1646
gs01,gs19,Central,Outer Southwest,47,49,0,446,39,50,24,0,0,0,0,45,10,55,0,0,15,0,,733
gs01,gs20,Central,Outer West,9,0,0,60,10,0,0,0,10,0,0,10,0,25,0,0,0,0,,115
gs01,gs21,Central,Outer Upper West,10,0,0,70,0,0,0,0,0,0,0,0,19,14,0,0,0,0,,103
gs01,gs22,Central,Outer Lower West,11,0,0,135,24,0,0,20,0,0,0,0,0,0,0,0,0,0,,179
gs01,gs23,Central,External Illinois,6,0,0,24,34,0,0,0,0,0,0,4,0,0,0,0,0,0,,62
gs01,gs24,Central,External Indiana,6,0,0,84,0,0,0,0,15,0,0,0,0,0,0,0,0,0,,99
gs01,gs25,Central,External Wisconsin,3,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,38
gs02,gs01,Inner North,Central,3828,1253,2811,32641,5407,1046,285,20,53,136,830,25506,53601,7499,304,0,432,0,,132214
gs02,gs02,Inner North,Inner North,4499,15168,3521,46984,5975,1082,470,99,120,78,425,8700,6402,504,155,0,982,23885,,114658
gs02,gs03,Inner North,Inner Northwest,1383,430,297,16053,1721,183,67,34,15,10,146,2047,1395,133,0,0,144,0,,22734
gs02,gs04,Inner North,Inner South,539,256,164,4313,610,140,4,85,0,14,20,523,1165,68,0,0,84,0,,7468
gs02,gs05,Inner North,Inner Southwest,346,85,24,3355,405,88,4,0,4,0,4,212,252,32,30,0,60,0,,4556
gs02,gs06,Inner North,Inner West,367,84,55,3329,383,10,10,0,0,15,0,226,277,49,0,0,4,0,,4444
gs02,gs07,Inner North,Inner Upper West,321,20,10,3078,390,57,0,45,0,0,40,500,141,45,0,0,19,0,,4343
gs02,gs08,Inner North,Inner Lower West,263,67,0,2453,270,10,0,20,10,35,30,113,142,25,0,0,49,0,,3223
gs02,gs09,Inner North,Northwest Indiana,26,10,0,244,35,0,0,0,0,0,0,0,35,0,0,0,0,0,,324
gs02,gs10,Inner North,Middle North,801,226,142,10154,761,48,79,10,0,0,59,262,512,346,0,0,42,0,,12653
gs02,gs11,Inner North,Middle Northwest,553,154,110,5881,660,90,62,0,0,30,0,154,82,63,0,0,20,0,,7305
gs02,gs12,Inner North,Middle/Outer South,65,0,4,613,139,4,0,0,8,0,0,4,0,4,0,0,15,0,,791
gs02,gs13,Inner North,Middle Southwest,161,79,27,1401,150,52,4,69,10,0,14,4,55,20,0,0,0,0,,1885
gs02,gs14,Inner North,Middle West,202,23,0,1875,251,4,0,0,10,0,0,40,38,29,0,0,110,0,,2380
gs02,gs15,Inner North,Middle Upper West,358,89,50,3555,449,28,18,0,0,15,10,78,76,68,0,0,35,0,,4490
gs02,gs16,Inner North,Middle Lower West,257,74,10,2740,156,19,0,0,0,0,45,20,94,57,0,0,25,0,,3243
gs02,gs17,Inner North,Outer North,349,64,0,3471,304,18,15,0,0,0,0,63,119,385,0,0,14,0,,4463
gs02,gs18,Inner North,Outer Northwest,405,4,28,4396,207,32,40,4,0,0,0,49,47,258,0,0,19,0,,5085
gs02,gs19,Inner North,Outer Southwest,44,35,10,424,100,0,0,4,0,0,0,0,4,15,0,0,4,0,,596
gs02,gs20,Inner North,Outer West,17,15,0,156,0,0,10,0,0,0,0,0,15,4,0,0,0,0,,200
gs02,gs21,Inner North,Outer Upper West,27,0,0,202,8,4,0,0,0,0,0,44,4,10,0,0,0,0,,272
