OBJECTID,gs,Shape_Length,Shape_Area,ring_sector,rs2
1,gs01,118760.728241595134023,645441336.422763824462891,Central,1
2,gs02,206622.033054627419915,1554212300.842514514923096,Inner North,2N
3,gs03,252504.889495243813144,1906477832.891219854354858,Inner Northwest,2NW
4,gs04,295157.424419567862060,3678442378.921108245849609,Inner South,2S
5,gs05,244065.662479441583855,1806970867.232124567031860,Inner Southwest,2SW
6,gs06,190955.270498131867498,1263034699.701244354248047,Inner West,2W
7,gs07,179216.010320957080694,755809266.722058653831482,Inner Upper West,2WN
8,gs08,201439.368157954857452,1297458806.301484346389771,Inner Lower West,2WS
9,gs09,414467.276031461195089,5885296375.943634033203125,Northwest Indiana,3IN
10,gs10,167330.026831650786335,1356509393.291799306869507,Middle North,3N
11,gs11,308414.223000611178577,3370532209.493402957916260,Middle Northwest,3NW
12,gs12,390125.554418062674813,7147531595.257736206054688,Middle/Outer South,3S
13,gs13,385364.368049731536303,4959345768.455807685852051,Middle Southwest,3SW
14,gs14,293248.340771593560930,3435418930.742015838623047,Middle West,3W
15,gs15,307440.990633134439122,3737773805.721786499023438,Middle Upper West,3WN
16,gs16,337581.873277884093113,5801755796.392127990722656,Middle Lower West,3WS
17,gs17,323173.658942241920158,2641399534.437258243560791,Outer North,4N
18,gs18,692384.344332141219638,27584239042.475044250488281,Outer Northwest,4NW
19,gs19,634874.289463698165491,18133859201.783740997314453,Outer Southwest,4SW
20,gs20,311892.552857598464470,5540648061.134027481079102,Outer West,4W
21,gs21,321602.951821495313197,5796442784.219144821166992,Outer Upper West,4WN
22,gs22,462919.073091294325422,11282809740.440666198730469,Outer Lower West,4WS
23,gs23,2188998.884694407694042,112824072197.946670532226563,External Illinois,XIL
24,gs24,957255.474238252500072,36863169852.513534545898438,External Indiana,XIN
25,gs25,790887.770544641185552,33399777040.388572692871094,External Wisconsin,XWI
