ORDER,FacilityType,County,Facility Type,Observed,Modeled,Observed_VMT,Modeled_VMT
1,Arterial/Collector,Chicago,Arterial/Collector,0.07969775044891013,0.07267055752207942,14769849.0,19861977.340600457
1,Interstate,Chicago,Interstate,0.058229309618436184,0.06493652504425958,10791247.0,17748147.709126204
1,Local,Chicago,Local,0.018097126769055887,0.016334882216490605,3353819.0,4464573.707814731
1,Subtotal,Chicago,Subtotal,0.1560241868364022,0.1539419647828296,28914915.0,42074698.757541396
2,Arterial/Collector,Suburban Cook,Arterial/Collector,0.15317447479320004,0.1480707947517592,28386797.0,40470017.98865501
2,Interstate,Suburban Cook,Interstate,0.11020580004177133,0.0976098707794924,20423701.0,26678273.949558955
2,Local,Suburban Cook,Local,0.03841797301176712,0.028280442190224183,7119745.0,7729478.362591777
2,Subtotal,Suburban Cook,Subtotal,0.3017982478467385,0.27396110772147575,55930243.0,74877770.30080573
3,Arterial/Collector,DuPage,Arterial/Collector,0.06745014223414968,0.06675965931565053,12500082.0,18246438.252393845
3,Interstate,DuPage,Interstate,0.040410847236973774,0.042949623508796414,7489071.0,11738790.481411258
3,Local,DuPage,Local,0.016786514350927276,0.01394779450348841,3110932.0,3812146.0440903935
3,Subtotal,DuPage,Subtotal,0.12464750382205073,0.12365707732793535,23100085.0,33797374.777895495
4,Arterial/Collector,Kane,Arterial/Collector,0.03418724725181055,0.05098051021172673,6335693.0,13933754.923098223
4,Interstate,Kane,Interstate,0.010762786712081071,0.01774827284556656,1994595.0,4850875.0326613765
4,Local,Kane,Local,0.011602913192463035,0.007455470851579539,2150290.0,2037694.4689407249
4,Subtotal,Kane,Subtotal,0.05655294715635465,0.07618425390887283,10480578.0,20822324.424700323
5,Arterial/Collector,Lake,Arterial/Collector,0.05515432636997382,0.06021414791377703,10221381.0,16457449.649861746
5,Interstate,Lake,Interstate,0.01639571079049397,0.03202225137483386,3038507.0,8752172.17108482
5,Local,Lake,Local,0.013798870369695473,0.01157785670615497,2557252.0,3164405.715210054
5,Subtotal,Lake,Subtotal,0.08534890753016326,0.10381425599476587,15817140.0,28374027.53615662
6,Arterial/Collector,McHenry,Arterial/Collector,0.02406245915583431,0.04543321044845599,4459334.0,12417592.863021474
6,Interstate,McHenry,Interstate,0.00191611646687508,0.004680160277284632,355101.0,1279159.5461416766
6,Local,McHenry,Local,0.008682789058683105,0.005780198595462499,1609123.0,1579816.8810300557
6,Subtotal,McHenry,Subtotal,0.03466136468139249,0.055893569321203124,6423558.0,15276569.290193208
7,Arterial/Collector,Will,Arterial/Collector,0.03953751392040394,0.051927048884207086,7327222.0,14192458.451815404
7,Interstate,Will,Interstate,0.03121166867287255,0.0334460687544573,5784249.0,9141323.286688158
7,Local,Will,Local,0.017816951508187698,0.011721802804962439,3301896.0,3203748.390569509
7,Subtotal,Will,Subtotal,0.08856613410146419,0.09709492044362682,16413367.0,26537530.12907307
8,Interstate,"Lake, IN",Interstate,0.026182354655636744,0.03617675077777992,4852200.0,9887660.542393677
8,Local/Arterial/Collector,"Lake, IN",Local/Arterial/Collector,0.05967787555849835,0.039870783177853995,11059700.0,10897296.223300943
8,Subtotal,"Lake, IN",Subtotal,0.0858602302141351,0.0760475339556339,15911900.0,20784956.76569462
9,Interstate,LaPorte,Interstate,0.006775187441906248,0.008592460508463587,1255600.0,2348451.171126018
9,Local/Arterial/Collector,LaPorte,Local/Arterial/Collector,0.017176470743131545,0.007856619967223156,3183200.0,2147334.6714765956
9,Subtotal,LaPorte,Subtotal,0.023951658185037795,0.01644908047568674,4438800.0,4495785.842602613
10,Interstate,Porter,Interstate,0.008288758704613083,0.012236236365208946,1536100.0,3344350.968357028
10,Local/Arterial/Collector,Porter,Local/Arterial/Collector,0.03430006092164802,0.010719999702761027,6356600.0,2929940.24605896
10,Subtotal,Porter,Subtotal,0.042588819626261105,0.022956236067969975,7892700.0,6274291.214415988
11,,TOTAL,,1.0,1.0,185323286.0,273315329.03907907
