res_gs,work_gs,Residence,Workplace,SUM_Total_means_of_transportation
gs01,gs01,Central,Central,121919
gs01,gs02,Central,Inner North,10119
gs01,gs03,Central,Inner Northwest,6322
gs01,gs04,Central,Inner South,7240
gs01,gs05,Central,Inner Southwest,4820
gs01,gs06,Central,Inner West,3891
gs01,gs07,Central,Inner Upper West,1777
gs01,gs08,Central,Inner Lower West,2973
gs01,gs09,Central,Northwest Indiana,981
gs01,gs10,Central,Middle North,2532
gs01,gs11,Central,Middle Northwest,2455
gs01,gs12,Central,Middle/Outer South,1016
gs01,gs13,Central,Middle Southwest,2177
gs01,gs14,Central,Middle West,2220
gs01,gs15,Central,Middle Upper West,2037
gs01,gs16,Central,Middle Lower West,4229
gs01,gs17,Central,Outer North,1532
gs01,gs18,Central,Outer Northwest,1646
gs01,gs19,Central,Outer Southwest,733
gs01,gs20,Central,Outer West,115
gs01,gs21,Central,Outer Upper West,103
gs01,gs22,Central,Outer Lower West,179
gs01,gs23,Central,External Illinois,62
gs01,gs24,Central,External Indiana,99
gs01,gs25,Central,External Wisconsin,38
gs02,gs01,Inner North,Central,132214
gs02,gs02,Inner North,Inner North,114658
gs02,gs03,Inner North,Inner Northwest,22734
gs02,gs04,Inner North,Inner South,7468
gs02,gs05,Inner North,Inner Southwest,4556
gs02,gs06,Inner North,Inner West,4444
gs02,gs07,Inner North,Inner Upper West,4343
gs02,gs08,Inner North,Inner Lower West,3223
gs02,gs09,Inner North,Northwest Indiana,324
gs02,gs10,Inner North,Middle North,12653
gs02,gs11,Inner North,Middle Northwest,7305
gs02,gs12,Inner North,Middle/Outer South,791
gs02,gs13,Inner North,Middle Southwest,1885
gs02,gs14,Inner North,Middle West,2380
gs02,gs15,Inner North,Middle Upper West,4490
gs02,gs16,Inner North,Middle Lower West,3243
gs02,gs17,Inner North,Outer North,4463
gs02,gs18,Inner North,Outer Northwest,5085
gs02,gs19,Inner North,Outer Southwest,596
gs02,gs20,Inner North,Outer West,200
gs02,gs21,Inner North,Outer Upper West,272
gs02,gs22,Inner North,Outer Lower West,171
gs02,gs23,Inner North,External Illinois,231
gs02,gs24,Inner North,External Indiana,44
gs02,gs25,Inner North,External Wisconsin,142
gs03,gs01,Inner Northwest,Central,48147
gs03,gs02,Inner Northwest,Inner North,24339
gs03,gs03,Inner Northwest,Inner Northwest,59815
gs03,gs04,Inner Northwest,Inner South,3813
gs03,gs05,Inner Northwest,Inner Southwest,3374
gs03,gs06,Inner Northwest,Inner West,6758
gs03,gs07,Inner Northwest,Inner Upper West,8214
gs03,gs08,Inner Northwest,Inner Lower West,2880
gs03,gs09,Inner Northwest,Northwest Indiana,123
gs03,gs10,Inner Northwest,Middle North,6781
gs03,gs11,Inner Northwest,Middle Northwest,10719
gs03,gs12,Inner Northwest,Middle/Outer South,769
gs03,gs13,Inner Northwest,Middle Southwest,1428
gs03,gs14,Inner Northwest,Middle West,2966
gs03,gs15,Inner Northwest,Middle Upper West,8444
gs03,gs16,Inner Northwest,Middle Lower West,3257
gs03,gs17,Inner Northwest,Outer North,2401
gs03,gs18,Inner Northwest,Outer Northwest,4642
gs03,gs19,Inner Northwest,Outer Southwest,568
gs03,gs20,Inner Northwest,Outer West,183
gs03,gs21,Inner Northwest,Outer Upper West,315
gs03,gs22,Inner Northwest,Outer Lower West,219
gs03,gs23,Inner Northwest,External Illinois,97
gs03,gs24,Inner Northwest,External Indiana,35
