County,FacilityType,obs_muvmt,hv_truck,diff,obs_share,modeled_share,diff_share
Boone,Arterial/Collector,16272.500094771385,57271.06265695536,40998.56256218397,0.002280351761787065,0.005929014208278223,0.0036486624464911574
Boone,Interstate,46996.00018411875,29540.10412981594,-17455.896054302808,0.006585798813498549,0.0030581534369072223,-0.003527645376591327
Chicago,Arterial/Collector,160293.99919845164,111220.72823642731,-49073.270962024326,0.022462848446596916,0.011514179192355936,-0.01094866925424098
Chicago,Interstate,482280.9993924573,596233.545306713,113952.54591425566,0.06758459488314215,0.061725363518224795,-0.00585923136491736
DeKalb,Arterial/Collector,30654.999990016222,129220.24281606135,98565.24282604513,0.004295847769408051,0.013377587565341669,0.009081739795933618
DeKalb,Interstate,74222.99948688596,100716.38539389033,26493.38590700437,0.010401262661502458,0.010426712065456664,2.544940395420546e-05
DuPage,Arterial/Collector,150864.99971067533,99168.27587787768,-51696.72383279765,0.021141512728752993,0.010266443285891859,-0.010875069442861134
DuPage,Interstate,614056.0022101738,462324.08292848535,-151731.9192816884,0.08605092507732225,0.0478623222504374,-0.03818860282688485
Grundy,Arterial/Collector,30480.00004440546,141154.98782927927,110674.98778487381,0.004271324098677555,0.01461313776246994,0.010341813663792384
Grundy,Interstate,263843.50184202194,531219.7983466007,267376.2965045788,0.03697378956874889,0.054994784206840265,0.018020994638091377
Kane,Arterial/Collector,94504.49948497117,137530.28536099652,43025.78587602536,0.013243416846966467,0.01423788870233015,0.000994471855363683
Kane,Interstate,188621.0001423955,187692.99827068424,-928.0018717112544,0.026432461359945234,0.019431007596400467,-0.007001453763544767
Kankakee,Arterial/Collector,5676.4999106526375,8262.838466056131,2586.338555403494,0.0007954780455770351,0.0008554143121003347,5.993626652329965e-05
Kankakee,Interstate,32832.99988359213,34359.920320495905,1526.9204369037761,0.004601062448502366,0.0035571272179072575,-0.0010439352305951083
Kendall,Arterial/Collector,52734.99971777201,121516.27516949392,68781.27545172191,0.007390035262799072,0.012580030622663451,0.005189995359864379
Kendall,Interstate,26493.000389635563,53372.60117833392,26879.600788698357,0.003712604686537543,0.005525424115396216,0.0018128194288586732
Kenosha,Arterial/Collector,517.4999952316284,1655.3801015345218,1137.8801063028934,7.252001960229952e-05,0.0001713740183395612,9.885399873726167e-05
Kenosha,Interstate,12212.00020313263,19803.44049094725,7591.440287814621,0.001711332371545377,0.002050160667472073,0.0003388282959266959
LaSalle,Arterial/Collector,39525.49987845123,150199.96366722116,110674.46378876994,0.005538917975628192,0.015549523220828077,0.010010605245199885
LaSalle,Interstate,458739.49500769377,999501.8812313911,540762.3862236973,0.06428559898907162,0.10347391125807986,0.03918831226900825
Lake,Arterial/Collector,98349.99999124557,159995.33571458288,61645.33572333731,0.013782307232793136,0.01656359380638802,0.0027812865735948843
Lake,Interstate,487662.0018571615,576330.5763313496,88668.57447418803,0.06833866330404274,0.05966489911670528,-0.008673764187337465
"Lake, IN",Arterial/Collector,1492.0000404119492,4322.842359625923,2830.8423192139735,0.00020908188053002187,0.00044752432696927374,0.00023844244643925186
"Lake, IN",Interstate,2117.500066757202,2.2213444329257372,-2115.2787223242763,0.00029673651741845956,2.2996574698089583e-07,-0.00029650655167147866
Lee,Interstate,112385.00043153763,358001.62360774406,245616.62317620643,0.01574910629835196,0.03706228965352026,0.021313183355168297
McHenry,Arterial/Collector,100681.49966299534,193502.17899992765,92820.67933693231,0.01410903265009941,0.02003240581540064,0.0059233731653012284
McHenry,Interstate,60294.00084614754,31036.02318522547,-29257.977660922068,0.008449318190440912,0.003213019174026212,-0.0052362990164147
Ogle,Arterial/Collector,4350.000038743019,19465.19038310441,15115.190344361392,0.000609588581616217,0.0020151431629538766,0.0014055545813376597
Ogle,Interstate,196412.50126808882,380953.48224638833,184540.9809782995,0.02752432574559361,0.03943839181858788,0.011914066072994271
Other,Arterial/Collector,1402.0000100135803,10446.713937660246,9044.713927646666,0.00019646969883178647,0.0010815010669036978,0.0008850313680719113
Other,Interstate,14332.500278949738,22813.613485193833,8481.113206244096,0.002008489296148061,0.002361790269303739,0.00035330097315567797
Suburban Cook,Arterial/Collector,403803.99844963104,365149.3659287713,-38654.63252085971,0.05658719643069168,0.03780226310280521,-0.01878493332788647
Suburban Cook,Interstate,1524853.5014164634,1461193.137922809,-63660.36349365441,0.21368581030394265,0.15127071986904775,-0.062415090434894904
Walworth,Arterial/Collector,167.50000417232513,713.7828150958194,546.2828109234943,2.347266415050948e-05,7.389470800772677e-05,5.042204385721729e-05
Will,Arterial/Collector,164455.50008434802,302357.33807405876,137901.83798971074,0.023046021641961126,0.03130168832654901,0.008255666684587885
Will,Interstate,724291.495044902,1116705.439559433,392413.94451453094,0.10149880947327374,0.11560746580289556,0.014108656329621827
Winnebago,Arterial/Collector,75212.9995264113,208419.60750030508,133206.60797389378,0.010539996618863212,0.02157673974996525,0.011036743131102039
Winnebago,Interstate,381873.00270311534,476084.5484727209,94211.54576960555,0.05351388965563867,0.049286881040501815,-0.0042270086151368555
Total,Total,7135960.498488601,9659457.819647694,2523497.3211590927,1.0,1.0,0.0
