id,vadt,AADT,FacilityType
10003-10118,15116.7422,6800,Arterial/Collector
10003-9920,8035.856327,4300,Arterial/Collector
10003-9929,5617.414084,3950,Arterial/Collector
10004-20128,42449.06411,10900,Arterial/Collector
10004-9874,16923.30118,7400,Arterial/Collector
10005-20125,52511.14731,35900,Interstate
10005-24065,4192.665591,10100,Interstate
10006-9954,11704.8814,3650,Arterial/Collector
10007-9992,56631.49673,38000,Interstate
10010-10362,6471.330884,1100,Arterial/Collector
10011-10017,1616.438188,400,Arterial/Collector
10013-10021,2330.565908,2900,Arterial/Collector
10013-10336,17460.85506,11600,Arterial/Collector
10013-20098,18665.18672,11600,Arterial/Collector
10017-10011,1398.732665,400,Arterial/Collector
10017-10025,890.2899601,400,Arterial/Collector
10020-10143,64426.33734,57800,Interstate
10020-10165,22100.76699,21700,Interstate
10021-10013,1789.597542,2900,Arterial/Collector
10021-10056,2711.197788,2900,Arterial/Collector
10021-9862,4244.033764,2900,Arterial/Collector
10025-10017,1004.091063,400,Arterial/Collector
10026-10076,114043.8275,91200,Interstate
10031-10035,2344.943811,1150,Arterial/Collector
10031-10126,4888.259287,2950,Arterial/Collector
10034-9978,8437.37134,1400,Arterial/Collector
10035-10031,2701.525634,1150,Arterial/Collector
10037-10547,62616.66581,64100,Interstate
10038-9885,50178.93162,74200,Interstate
10040-21157,85604.56353,70400,Interstate
10042-9961,116444.9688,90500,Interstate
10056-10021,3378.393619,2900,Arterial/Collector
10057-10107,18855.40593,7750,Arterial/Collector
10057-9864,19132.83012,7750,Arterial/Collector
10061-10109,30984.26684,21150,Arterial/Collector
10061-23618,8837.408392,21150,Arterial/Collector
10066-10042,11748.71645,8000,Interstate
10072-10101,116812.264,102000,Interstate
10074-10079,1327.980627,1550,Arterial/Collector
10075-10129,1864.193237,500,Arterial/Collector
10076-20142,21752.39054,13200,Interstate
10076-20147,92291.4338,78000,Interstate
10079-10074,1291.06585,1550,Arterial/Collector
10079-10081,1425.874866,1550,Arterial/Collector
10080-10093,30004.20327,22400,Interstate
10080-20146,88545.94609,78300,Interstate
10081-10079,1156.030259,1550,Arterial/Collector
10081-10082,2781.616951,1550,Arterial/Collector
10082-10081,2737.185371,1550,Arterial/Collector
10086-20139,116135.2101,89200,Interstate
10089-10713,4838.902017,2800,Arterial/Collector
10089-9605,4705.419907,2300,Arterial/Collector
10093-10211,29489.96729,19050,Interstate
10093-20149,47856.99755,19050,Interstate
10098-9403,326.571916,850,Arterial/Collector
10099-9611,6735.375432,1250,Arterial/Collector
10101-10165,58050.20306,45600,Interstate
10101-20153,58762.06379,56400,Interstate
10106-10113,2308.524414,300,Arterial/Collector
