id,vadt,AADT,FacilityType
10005-20125,41988.94981733958,36079,Interstate
10005-24065,3768.649681584289,10174,Interstate
10007-9992,44153.65945275624,38190,Interstate
10020-10143,47583.59455712636,58089,Interstate
10020-10165,16345.97568587462,22600,Interstate
10026-10076,90141.42727152507,84200,Interstate
10037-10547,46918.28324826559,59963,Interstate
10038-9885,33227.11908594768,73087,Interstate
10040-21157,74033.13051112494,71300,Interstate
10042-9961,90267.77253754933,91700,Interstate
10065-20148,36485.455557346344,6412,Interstate
10066-10042,8457.047634137794,8000,Interstate
10072-10101,92710.79466438295,102100,Interstate
10076-20142,20113.07251328727,10700,Interstate
10076-20147,70028.35380649567,81100,Interstate
10077-20112,7751.258664590617,9593,Interstate
10080-10093,25918.62385145823,19100,Interstate
10080-20146,67634.36852232614,81100,Interstate
10086-20139,91148.56173419952,91000,Interstate
10093-10211,25030.49671374261,19126,Interstate
10093-20149,39006.639931996666,19126,Interstate
10094-20089,2137.7546378757497,5523,Interstate
10101-10165,49019.67040475209,45900,Interstate
10101-20153,43691.123009999596,56682,Interstate
10126-10151,1752.3049040536084,1077,Interstate
10133-10276,31668.901122411095,38000,Interstate
10138-10210,4866.767896340539,7147,Interstate
10138-10288,53174.06514485676,85916,Interstate
10139-9821,59258.47760836283,73241,Interstate
10142-21703,7648.989521801473,7048,Interstate
10143-10080,93552.99408372243,100200,Interstate
10144-10166,5904.6946982522495,3198,Interstate
10148-10094,8059.994905243939,2713,Interstate
10148-20089,63178.07552782694,61900,Interstate
10151-10230,33034.72548675537,36468,Interstate
10165-10723,65365.64625740051,68500,Interstate
10166-10353,69581.57961940765,67927,Interstate
10180-10189,1515.605580528577,936,Interstate
10180-21185,31283.937226295475,32308,Interstate
10184-10143,45969.398257255554,42500,Interstate
10189-21190,6401.358339548112,2906,Interstate
10207-10219,1240.4844774703183,1428,Interstate
10211-20151,25147.248553643625,19126,Interstate
10212-10231,1174.8182457437117,1330,Interstate
10219-21770,21115.190168698628,24477,Interstate
10224-10240,4866.767896340539,7147,Interstate
10230-10216,3043.5978885181244,3940,Interstate
10230-10231,29991.128433227535,33041,Interstate
10231-21228,31165.94611167908,33040,Interstate
10235-10255,1589.624527355035,1379,Interstate
10235-21227,20936.480485280354,33041,Interstate
10240-10288,10936.553383708,7049,Interstate
10250-20068,7598.713851392269,3779,Interstate
10252-10261,28278.549468676247,33041,Interstate
10252-10268,1510.4929836789768,1034,Interstate
