id,vadt,AADT,FacilityType,flag
10005-20125,40338.49009,36079,Interstate,N
10005-24065,3155.391962,10174,Interstate,N
10007-9992,41160.34373,38190,Interstate,N
10020-10143,46109.55762,58089,Interstate,N
10020-10165,16155.00346,22600,Interstate,N
10026-10076,86832.417,84200,Interstate,N
10037-10547,44173.52512,59963,Interstate,N
10038-9885,32798.14517,73087,Interstate,N
10040-21157,69847.90426,71300,Interstate,N
10042-9961,87826.71377,91700,Interstate,N
10065-20148,34386.75276,6412,Interstate,N
10066-10042,8536.656329,8000,Interstate,N
10072-10101,89569.8961,102100,Interstate,N
10076-20142,19001.82186,10700,Interstate,N
10076-20147,67830.59556,81100,Interstate,N
10077-20112,6778.641729,9593,Interstate,N
10080-10093,24685.37651,19100,Interstate,N
10080-20146,66581.6617,81100,Interstate,N
10086-20139,88263.30076,91000,Interstate,N
10093-10211,23661.05054,19126,Interstate,N
10093-20149,38358.02447,19126,Interstate,N
10094-20089,2095.285111,5523,Interstate,N
10101-10165,47850.25058,45900,Interstate,N
10101-20153,41719.64412,56682,Interstate,N
10126-10151,1603.816869,1077,Interstate,N
10133-10276,30820.36105,38000,Interstate,N
10138-10210,5854.001134,7147,Interstate,N
10138-10288,49495.68254,85916,Interstate,N
10139-9821,56462.10847,73241,Interstate,N
10142-21703,7776.359659,7048,Interstate,N
10143-10080,91267.03698,100200,Interstate,N
10144-10166,6128.547238,3198,Interstate,N
10148-10094,7671.205129,2713,Interstate,N
10148-20089,59932.02692,61900,Interstate,N
10151-10230,32942.55141,36468,Interstate,N
10165-10723,64005.25369,68500,Interstate,N
10166-10353,66250.46279,67927,Interstate,N
10180-10189,1429.789858,936,Interstate,N
10180-21185,31383.24085,32308,Interstate,N
10184-10143,45157.47979,42500,Interstate,N
10189-21190,6047.340918,2906,Interstate,N
10207-10219,1193.362173,1428,Interstate,N
10211-20151,24628.58445,19126,Interstate,N
10212-10231,1133.323001,1330,Interstate,N
10219-21770,21287.70175,24477,Interstate,N
10224-10240,5854.001134,7147,Interstate,N
10230-10216,3361.352034,3940,Interstate,N
10230-10231,29581.1989,33041,Interstate,N
10231-21228,30714.52176,33040,Interstate,N
10235-10255,1514.784522,1379,Interstate,N
10235-21227,21035.20688,33041,Interstate,N
10240-10288,9693.154576,7049,Interstate,N
10250-20068,7146.213222,3779,Interstate,N
10252-10261,28127.34535,33041,Interstate,N
10252-10268,1522.557771,1034,Interstate,N
10255-21760,8614.697453,6755,Interstate,N
10261-10180,32813.03082,36467,Interstate,N
10262-21158,67219.84717,72200,Interstate,N
10276-20064,30055.99102,39300,Interstate,N
10276-22271,764.3700391,1163,Interstate,N
10277-10261,4685.684381,4137,Interstate,N
10288-19816,59188.83583,86935,Interstate,N
10290-10315,5741.358033,8721,Interstate,N
10295-10139,48685.74897,85804,Interstate,N
10295-10241,10621.38635,10965,Interstate,N
10314-10262,7478.942191,2900,Interstate,N
10315-10359,52081.64451,55572,Interstate,N
10321-10149,37565.56784,35400,Interstate,N
10334-10393,5680.18213,4100,Interstate,N
10340-10366,7553.251178,8140,Interstate,N
10340-20069,50419.22758,47142,Interstate,N
10347-9676,14481.39334,10402,Interstate,N
10353-20082,12980.43796,12597,Interstate,N
10353-20084,53270.02417,60577,Interstate,N
10359-20073,50944.56049,57205,Interstate,N
10359-20075,1137.084879,1260,Interstate,N
10367-10321,3157.883417,1454,Interstate,N
10380-10340,57972.47876,55572,Interstate,N
10393-21143,65751.61186,75000,Interstate,N
10395-10785,21287.70175,24477,Interstate,N
10403-21771,22549.99153,24477,Interstate,N
10518-23945,46047.47149,14293,Interstate,N
10521-20502,29171.68424,37486,Interstate,N
10529-20491,39450.81356,37800,Interstate,N
10547-10550,7078.570259,4679,Interstate,N
10547-21572,37094.9547,60404,Interstate,N
10549-10608,10464.88839,12208,Interstate,N
10552-10038,43590.12107,59964,Interstate,N
10563-21573,7078.570259,4679,Interstate,N
10572-10589,1230.813751,1958,Interstate,N
10577-21568,4894.19551,3426,Interstate,N
10589-21589,42100.84559,60683,Interstate,N
10590-10552,37520.66022,60403,Interstate,N
10590-21569,5945.531564,10342,Interstate,N
10608-10774,14366.69097,12209,Interstate,N
10669-21146,64841.82474,77100,Interstate,N
10691-10669,5429.235405,3200,Interstate,N
10696-10828,17376.04278,14293,Interstate,N
10701-10738,876.2083999,900,Interstate,N
10703-10736,4837.763662,3915,Interstate,N
10723-10771,18610.23567,11500,Interstate,N
10723-20161,45395.01887,57000,Interstate,N
10729-20265,4837.763662,3916,Interstate,N
10732-10703,8584.452535,4137,Interstate,N
10732-20265,50604.38521,84928,Interstate,N
10738-21738,61186.37089,67400,Interstate,N
10745-10768,5159.839701,3989,Interstate,N
10753-20249,27654.52002,23353,Interstate,N
10754-10784,47094.83433,26793,Interstate,N
10755-20156,3739.279353,3100,Interstate,N
10755-20160,30635.92036,24613,Interstate,N
10768-10967,48983.515,32899,Interstate,N
10771-20168,44165.51335,26609,Interstate,N
10774-23568,17792.84854,17733,Interstate,N
10782-10822,2923.88208,4454,Interstate,N
10782-11045,42551.71845,27487,Interstate,N
10784-10820,46070.02993,31202,Interstate,N
10784-20172,46683.06212,26793,Interstate,N
10785-10761,5300.922852,6402,Interstate,N
10785-20481,15986.77882,23202,Interstate,N
10789-10403,22549.99153,27553,Interstate,N
10799-20155,7838.010879,9700,Interstate,N
10799-20159,52120.43431,57400,Interstate,N
10800-10848,1599.188657,2814,Interstate,N
10801-10839,6612.705192,1105,Interstate,N
10807-21526,612.4165516,2311,Interstate,N
10808-10840,2508.603096,854,Interstate,N
10809-10851,4989.460887,6633,Interstate,N
10816-10860,4035.554396,2311,Interstate,N
10817-10863,7364.358452,1507,Interstate,N
10820-10784,46497.01128,31202,Interstate,N
10820-10829,50624.50775,33357,Interstate,N
10828-20254,19549.92029,12970,Interstate,N
10829-10820,51107.12478,33357,Interstate,N
10829-20231,50624.50775,32994,Interstate,N
10839-21510,28655.63521,43918,Interstate,N
10840-21512,30984.65281,47285,Interstate,N
10848-21516,32277.03127,44320,Interstate,N
10852-21531,3708.085423,2814,Interstate,N
10853-21529,12243.31086,7839,Interstate,N
10857-10877,29310.40675,25436,Interstate,N
10860-10861,40529.32101,42059,Interstate,N
10862-21534,1026.696789,4623,Interstate,N
10863-21520,47720.70438,37838,Interstate,N
10877-10857,31748.37905,25436,Interstate,N
10877-23998,29551.89053,24663,Interstate,N
10879-10877,30200.77715,24665,Interstate,N
10880-10879,32053.94562,22239,Interstate,N
10886-10944,5824.204819,1608,Interstate,N
10892-10947,2051.414022,2412,Interstate,N
10894-10949,5259.056615,6331,Interstate,N
10906-10854,672.4110638,3216,Interstate,N
10907-10976,1920.380295,854,Interstate,N
10909-10972,52101.51223,30717,Interstate,N
10909-19812,660.382257,3940,Interstate,N
10910-21523,47480.89047,38793,Interstate,N
10912-10853,4287.466491,5326,Interstate,N
10917-10909,52761.89355,30717,Interstate,N
10918-10917,47879.44177,30717,Interstate,N
10918-10919,42501.72214,27326,Interstate,N
10919-10918,39623.9428,27326,Interstate,N
10919-10920,42296.94388,27326,Interstate,N
10920-10919,39419.16454,27326,Interstate,N
10920-20257,53389.32637,27326,Interstate,N
10923-10852,2898.288434,1809,Interstate,N
10929-21525,48305.91947,34873,Interstate,N
10932-11070,14516.55261,26987,Interstate,N
10942-10768,43823.67508,27487,Interstate,N
10949-21515,729.1806828,9748,Interstate,N
10952-21530,57489.31517,37235,Interstate,N
10959-10862,1552.403212,3316,Interstate,N
10959-20691,56603.38868,39396,Interstate,N
10966-10918,49972.60902,30717,Interstate,N
10966-19812,2839.783258,3842,Interstate,N
10969-10942,3472.473779,1909,Interstate,N
10974-20695,48983.515,32899,Interstate,N
10977-21532,53829.09374,39547,Interstate,N
10985-11004,21812.64305,12064,Interstate,N
10991-11274,58942.3142,86768,Interstate,N
10992-10782,45475.60194,32899,Interstate,N
11000-21507,3289.754541,2713,Interstate,N
11004-11047,13071.41975,10624,Interstate,N
11005-10952,6215.825112,1708,Interstate,N
11007-10948,2617.234226,5427,Interstate,N
11011-11059,9811.622088,11063,Interstate,N
11012-21511,367.8956522,5025,Interstate,N
11014-20246,21646.46529,26749,Interstate,N
11026-10929,680.045865,3316,Interstate,N
11027-11031,54811.4738,35426,Interstate,N
11028-10977,1154.00556,6331,Interstate,N
11031-10942,40351.20101,28779,Interstate,N
11040-11051,18804.26857,11240,Interstate,N
11047-20256,11353.77743,11869,Interstate,N
11051-11040,14606.03801,11240,Interstate,N
11051-11135,20266.26653,11047,Interstate,N
11052-10997,45475.60194,32899,Interstate,N
11058-20692,53029.88266,36331,Interstate,N
11059-11176,60592.33626,50076,Interstate,N
11063-20263,12569.13171,8517,Interstate,N
11064-20263,51620.45686,90264,Interstate,N
11065-11104,3799.983499,1615,Interstate,N
11070-11227,23257.77518,26987,Interstate,N
11083-11254,16280.89343,17926,Interstate,N
11086-11068,12569.13171,8517,Interstate,N
11097-21742,60900.71478,78200,Interstate,N
11098-20281,38990.16645,30867,Interstate,N
11103-11110,31394.99704,23256,Interstate,N
11104-11103,42083.07607,27520,Interstate,N
11106-10799,59958.44519,67100,Interstate,N
11110-11103,31941.03492,23256,Interstate,N
11110-11117,32437.55483,23256,Interstate,N
11115-11029,48105.24991,30717,Interstate,N
11116-11128,25706.63843,9254,Interstate,N
11116-11250,26239.71903,11982,Interstate,N
11117-11110,33587.31955,23256,Interstate,N
11117-11119,27091.60093,23256,Interstate,N
11118-11119,39698.96583,23256,Interstate,N
11118-21725,39936.41356,23256,Interstate,N
11119-11117,28087.06653,23256,Interstate,N
11119-11118,39023.70933,23256,Interstate,N
11124-11128,28220.22112,16811,Interstate,N
11124-21740,30188.01823,17345,Interstate,N
11128-11116,26035.65245,9254,Interstate,N
11128-11124,28464.62676,16811,Interstate,N
11129-6762,9836.965127,12399,Interstate,N
11135-11051,18625.75741,11047,Interstate,N
11135-11150,20266.26653,11580,Interstate,N
11142-11064,48581.40339,90263,Interstate,N
11144-20176,65887.11997,75900,Interstate,N
11145-11106,56257.52822,62800,Interstate,N
11145-22427,11431.40164,14400,Interstate,N
11148-11150,22602.30327,15321,Interstate,N
11148-11160,23883.50865,15359,Interstate,N
11150-11135,18625.75741,11580,Interstate,N
11150-11148,23883.50865,15321,Interstate,N
11153-20321,61518.11498,77600,Interstate,N
11160-11148,22602.30327,15359,Interstate,N
11160-11307,19296.91885,15359,Interstate,N
