Vrange,Weight (Miles),Links,AADT,Model Volumes,RMSE,%RMSE
0.0,12399.508470310611,12706,2201.930561699025,5239.046406307534,5350.342596377963,2.429841653248866
10000.0,8667.11355628623,11951,8814.24978293347,13303.174322423518,11377.64652209137,1.2908241543280587
20000.0,2309.7477009774398,2112,18575.37007120071,29722.553919133596,34933.69756381796,1.8806461152544807
30000.0,400.2808929664255,303,30096.780878520516,48563.10820517438,41354.86946338874,1.3740628816852272
40000.0,188.11639569238437,166,39565.77556177211,59749.542524034165,34288.36275521661,0.8666167228716106
50000.0,332.54868918002717,149,50285.0857514031,58837.327624917925,34867.81800397866,0.6934027750565335
60000.0,203.5448979885713,227,60048.05601354723,69052.44925963711,21264.788524561838,0.35412950786890357
70000.0,175.91460080319044,208,69998.45801964332,79825.116605957,19479.665845843323,0.27828707084342974
80000.0,127.97799978398535,143,79733.69761018109,85431.40854239084,17213.837188271733,0.21589162053452443
90000.0,60.845999969258926,85,88625.00957114504,103004.34539217914,26722.491795111953,0.3015231470712573
100000.0,15.331900021484497,151,111457.78532851975,119556.43727218434,6805.4126834966655,0.06105820839197404
