County,FacilityType,modeled_suvmt,obs_suvmt,diff,obs_share,modeled_share,diff_share
Boone,Arterial/Collector,30233.667907871164,8553.99996638298,21679.667941488184,0.0022512756803119887,0.003235571812291678,0.0009842961319796893
Boone,Interstate,11390.271728254025,18860.000079870224,-7469.728351616199,0.004963649716782454,0.0012189735711387766,-0.0037446761456436774
Chicago,Arterial/Collector,545380.1880987083,363139.99848142266,182240.18961728562,0.09557262688129838,0.058365950468586905,-0.03720667641271147
Chicago,Interstate,656531.5046103229,244603.99971418083,411927.50489614205,0.06437585200230304,0.07026123448440627,0.005885382482103227
DeKalb,Arterial/Collector,75814.47832916325,23125.99998638034,52688.47834278291,0.006086392513074563,0.008113576883656104,0.0020271843705815407
DeKalb,Interstate,11022.874888970904,17798.499954864383,-6775.625065893479,0.004684279898514349,0.0011796551906917902,-0.003504624707822559
DuPage,Arterial/Collector,521970.016728699,211079.49934368953,310890.51738500944,0.05555274086420344,0.055860621282709334,0.0003078804185058931
DuPage,Interstate,659564.44455963,250243.50116206333,409320.9433975667,0.06586007838862493,0.07058581617387427,0.004725737785249345
Grundy,Arterial/Collector,49410.884874162,19391.999965161085,30018.884909000917,0.005103663559241062,0.005287895163973998,0.00018423160473293645
Grundy,Interstate,69568.12428260737,78843.00054013729,-9274.876257529919,0.02075021397900356,0.007445099372286451,-0.013305114606717107
Kane,Arterial/Collector,283517.2510542895,101512.9995111376,182004.2515431519,0.026716594334005046,0.03034168492572672,0.003625090591721676
Kane,Interstate,57439.135175857635,61500.99992789328,-4061.8647520356462,0.016186077390304324,0.0061470691304719854,-0.010039008259832338
Kankakee,Arterial/Collector,18034.532912558738,5623.499928414822,12411.032984143916,0.0014800150428840534,0.0019300346394467728,0.00045001959656271943
Kankakee,Interstate,11314.370529848282,7781.999945640564,3532.370584207718,0.0020480976491303203,0.001210850713573855,-0.0008372469355564652
Kendall,Arterial/Collector,133490.38297704118,32205.499816685915,101284.88316035527,0.008475971334408944,0.01428598480636509,0.005810013471956147
Kendall,Interstate,10575.815979674027,10249.50014948845,326.3158301855783,0.0026975041515758112,0.0011318114685948677,-0.0015656926829809435
Kenosha,Arterial/Collector,2512.7318603824033,801.9999802112579,1710.7318801711453,0.00021107353964881513,0.0002689096276401151,5.783608799129995e-05
Kenosha,Interstate,2984.622899491668,1548.0000257492065,1436.6228737424613,0.00040740879410654555,0.00031941085525389934,-8.799793885264621e-05
LaSalle,Arterial/Collector,171201.92643612414,35071.499955654144,136130.42648047,0.009230256632279738,0.01832183012245572,0.009091573490175982
LaSalle,Interstate,181747.9108771983,82262.99915015697,99484.91172704133,0.021650302794492968,0.019450449054646962,-0.0021998537398460055
Lake,Arterial/Collector,673380.7158909115,160415.00005945563,512965.7158314559,0.042218656746593884,0.0720644173878153,0.029845760641221415
Lake,Interstate,262196.5117812107,179162.00036183,83034.51141938072,0.04715256673319668,0.028059964321418763,-0.019092602411777914
"Lake, IN",Arterial/Collector,4543.537147527084,1094.0000265836716,3449.5371209434124,0.0002879232714271231,0.0004862440365302637,0.0001983207651031406
"Lake, IN",Interstate,437.9593309465291,665.500020980835,-227.54069003430584,0.00017514893831765927,4.6869895854475246e-05,-0.00012827904246318403
Lee,Interstate,33938.21533253083,20895.000010728836,13043.215321801996,0.0054992290798620835,0.0036320281490170667,-0.0018672009308450168
McHenry,Arterial/Collector,361387.90750844555,107442.99961254,253944.90789590555,0.028277275309572067,0.03867531158973202,0.01039803628015995
McHenry,Interstate,8213.352909943518,11884.00014936924,-3670.6472394257216,0.0031276783523780964,0.0008789834313453729,-0.0022486949210327235
Ogle,Arterial/Collector,16365.394876494125,2308.999991416931,14056.394885077194,0.0006076917871108621,0.001751405437168986,0.0011437136500581238
Ogle,Interstate,38799.974897039414,35976.00011229515,2823.974784744263,0.00946830657540422,0.004152327976778556,-0.005315978598625664
Other,Arterial/Collector,1924.5126394615477,417.00000166893005,1507.5126377926176,0.00010974771640597522,0.0002059590939351326,9.621137752915737e-05
Other,Interstate,2501.0690037414774,1347.5000262260437,1153.5689775154337,0.0003546404080178177,0.00026766148235013014,-8.697892566768755e-05
Suburban Cook,Arterial/Collector,2177689.647416994,637734.9974086508,1539954.6500083432,0.1678416291550456,0.23305380149615998,0.06521217234111437
Suburban Cook,Interstate,1186142.211557388,551036.9998510927,635105.2117062954,0.14502410586767878,0.12693955350634897,-0.018084552361329803
Walworth,Arterial/Collector,335.8717140876827,100.50000250339508,235.3717115842876,2.644998975875113e-05,3.594459838481159e-05,9.49460862606046e-06
Will,Arterial/Collector,417584.4859639054,166586.99987921864,250997.48608468677,0.0438430281690546,0.04468940375188035,0.0008463755828257494
Will,Interstate,436903.38870624115,172101.49876624346,264801.8899399977,0.04529435588500688,0.04675689014975907,0.001462534264752187
Winnebago,Arterial/Collector,145553.96633599352,62052.999490872025,83500.9668451215,0.016331354827358417,0.015577015401475096,-0.0007543394258833214
Winnebago,Interstate,72546.00368400925,114202.00064256787,-41655.99695855862,0.03005613604161619,0.007763788546254373,-0.022292347495361818
Total,Total,9344149.863407724,3799623.493999429,5544526.369408295,1.0,1.0,0.0
