,FacilityType,Vrange,num_links,obs_vmt,vmt,% diff
1,Interstate,0.0,1474,4325972.3644544445,5673226.665725936,0.3114338668322483
2,Interstate,10000.0,757,11138071.617184013,13626503.7805629,0.22341678603858947
3,Interstate,20000.0,298,6521381.335458256,7230018.5456205495,0.10866366705306267
4,Interstate,30000.0,234,6121083.323587671,5984786.2392574465,-0.022266823881485473
5,Interstate,40000.0,201,6492364.136683812,5360985.844925918,-0.17426291377670372
6,Interstate,50000.0,183,7101144.0321305245,5759604.481669406,-0.18891879173145315
7,Interstate,60000.0,214,8989867.14852883,7033993.508214687,-0.21756424294147844
8,Interstate,70000.0,183,8908547.703261508,6768364.413560506,-0.2402393028571267
9,Interstate,80000.0,134,7964404.137488902,5907967.463407144,-0.25820345610062573
10,Interstate,90000.0,83,4420545.941368336,3260429.2490119473,-0.26243742464019865
11,Interstate,100000.0,189,6572935.784504853,4036802.6611695644,-0.38584480458701736
11,Interstate Subtotal,,3950,78556317.52465117,70642682.8531259,-0.10073836097322092
13,Arterial/Collector,0.0,21059,50420900.14726372,59689369.766077906,0.1838219784205335
14,Arterial/Collector,10000.0,4705,29202896.25855637,27580871.238783944,-0.05554329287791708
15,Arterial/Collector,20000.0,325,2916554.5561784916,2711559.8836197015,-0.07028658940204803
16,Arterial/Collector,30000.0,75,625023.914119713,259229.07004579777,-0.5852493573611542
17,Arterial Subtotal,,26164,83165374.87611824,90241029.95852645,0.08507933852216722
0,TOTAL,,30114,161721692.4007694,160883712.81165236,-0.005181615259382874
