,FacilityType,Vrange,num_links,obs_vmt,vmt,% diff
1,Interstate,0.0,465,420181.00009411573,804521.3914148351,0.9147019766115829
2,Interstate,10000.0,834,2830324.4969376363,4546880.078397004,0.6064872007844514
3,Interstate,20000.0,427,5763146.523308195,11707365.04935214,1.031418948312945
4,Interstate,30000.0,172,3720270.4754864797,6374335.981490023,0.7134065986577188
5,Interstate,40000.0,145,3928811.975006014,5738969.7415856365,0.46073922042982257
6,Interstate,50000.0,141,5212132.475448586,6745883.933338578,0.29426563217927193
7,Interstate,60000.0,227,8448160.967631266,9661588.282770045,0.1436321253569824
8,Interstate,70000.0,208,9691986.507892981,10993861.272073783,0.13432486344472086
9,Interstate,80000.0,135,7463534.5104932785,7837274.5548154535,0.05007547614293457
10,Interstate,90000.0,75,4044035.486051906,4506548.234134877,0.11436911215992103
11,Interstate,100000.0,151,4287781.010174751,4586133.045608726,0.06958192004815458
11,Interstate Subtotal,,2980,55810365.4285252,73503361.56498109,0.31701989407531866
13,Arterial/Collector,0.0,9597,13848413.464539219,33026670.30143942,1.3848703236662296
14,Arterial/Collector,10000.0,9740,40120845.896679536,58933410.32702778,0.4688975022808581
15,Arterial/Collector,20000.0,1478,12277214.434917271,15238304.718037868,0.24118584055183115
16,Arterial/Collector,30000.0,95,1046839.00077492,1085300.9537866332,0.03674103943704988
17,Arterial Subtotal,,20910,67293312.79691097,108283686.30029196,0.6091299684871898
0,TOTAL,,23890,123103678.22543618,181787047.86527306,0.4766987508884319
