,FacilityType,Vrange,modeled_truckvmt,num_links,obs_truckvmt,% diff
1,Interstate,0.0,8741.078638896875,18,12220.00016644597,-0.2846907921574026
2,Interstate,10000.0,2620050.039075246,307,1302034.9976539612,1.0122731292139742
3,Interstate,20000.0,2073715.2585095363,369,1375117.5069283694,0.5080276762250233
4,Interstate,30000.0,852018.1240752775,151,640461.9978180155,0.33031800009682183
5,Interstate,40000.0,861695.3644219034,122,562241.4986196905,0.5326071919937885
6,Interstate,50000.0,749827.6625217856,112,566735.4984764941,0.32306457692783014
7,Interstate,60000.0,1049748.2589575213,195,880941.4968143217,0.19162085422657685
8,Interstate,70000.0,1193841.8423115006,187,1001409.5047268085,0.19216148506318495
9,Interstate,80000.0,855142.2174201845,126,752935.001924634,0.1357450712668304
10,Interstate,90000.0,374323.02897967765,64,236685.4991596192,0.5815207535263348
11,Interstate,100000.0,512600.3115760338,114,234699.50095824897,1.1840707350597266
11,Interstate Subtotal,,11151703.186487563,1765,7565482.503246609,0.47402405354873045
13,Arterial/Collector,0.0,2038887.9347629037,2219,697732.4987307191,1.9221627750921007
14,Arterial/Collector,10000.0,4168007.0980702406,4681,1814934.995810315,1.2965048928429241
15,Arterial/Collector,20000.0,1488995.528068263,1099,760938.4949523956,0.956788279138664
16,Arterial/Collector,30000.0,126589.81333268432,73,82628.99988591671,0.5320264496419289
17,Arterial Subtotal,,7822480.374234078,8072,3356234.9893793464,1.3307308335047943
0,TOTAL,,18974183.560721643,9837,10921717.492625955,0.7372893570569365
