,FacilityType,Vrange,num_links,obs_vmt,vmt,% diff
1,Interstate,0.0,769,780413.4963436984,1825055.6516296573,1.3385752042733674
2,Interstate,10000.0,1223,9745821.985292714,17965918.852223612,0.8434482878238216
3,Interstate,20000.0,582,10528826.01208631,21510266.191424318,1.0429880944686645
4,Interstate,30000.0,208,5418250.47424864,9342971.485215748,0.7243520818426831
5,Interstate,40000.0,166,4861842.474458367,7342023.745225805,0.5101319682398272
6,Interstate,50000.0,149,6657242.457980849,7789473.7520220615,0.17007511761628402
7,Interstate,60000.0,227,8448160.967631266,9714989.04848799,0.14995311828343663
8,Interstate,70000.0,208,9691986.507892981,11052585.657227045,0.14038392936535932
9,Interstate,80000.0,143,7952639.010350406,8520928.699494397,0.0714592587950187
10,Interstate,90000.0,85,4626225.4863415845,5376826.814046164,0.16224918779265005
11,Interstate,100000.0,151,4287781.010174751,4599336.151071438,0.07266115973679092
11,Interstate Subtotal,,3911,72999189.88280158,105040376.04806805,0.4389252293992278
13,Arterial/Collector,0.0,11937,19339704.947092663,46046678.388989806,1.3809400668189615
14,Arterial/Collector,10000.0,10728,45780778.37949321,65839290.028350174,0.4381426519790644
15,Arterial/Collector,20000.0,1530,12899359.429943562,15977304.842641326,0.23861226826138845
16,Arterial/Collector,30000.0,95,1046839.00077492,1088869.7472056812,0.04015015336613178
17,Arterial Subtotal,,24290,79066681.75730434,128952143.0071867,0.6309289847651136
0,TOTAL,,28201,152065871.6401059,233992519.05525476,0.5387576221510408
