,FacilityType,Vrange,num_links,obs_vmt,vmt,% diff
1,Interstate,0.0,466,420271.000097692,810376.1160742077,0.9282227797916957
2,Interstate,10000.0,834,2830324.4969376363,4587393.175943052,0.6208011416735201
3,Interstate,20000.0,427,5763146.523308195,11761586.322413197,1.0408272243027654
4,Interstate,30000.0,172,3720270.4754864797,6456672.691858849,0.735538513772858
5,Interstate,40000.0,145,3928811.975006014,5757881.033122226,0.46555270900013274
6,Interstate,50000.0,141,5212132.475448586,6773386.026071646,0.2995421850801461
7,Interstate,60000.0,227,8448160.967631266,9714989.04848799,0.14995311828343663
8,Interstate,70000.0,208,9691986.507892981,11052585.657227045,0.14038392936535932
9,Interstate,80000.0,135,7463534.5104932785,7861680.572910895,0.05334551101195376
10,Interstate,90000.0,75,4044035.486051906,4521233.481126168,0.11800044700896994
11,Interstate,100000.0,151,4287781.010174751,4599336.151071438,0.07266115973679092
11,Interstate Subtotal,,2981,55810455.42852878,73897120.2763067,0.3240730560054258
13,Arterial/Collector,0.0,9596,13849663.964552898,33481640.175461628,1.4175055987751901
14,Arterial/Collector,10000.0,9740,40120845.896679536,59460058.10648975,0.4820240395632026
15,Arterial/Collector,20000.0,1478,12277214.434917271,15323449.370839626,0.24812101735868078
16,Arterial/Collector,30000.0,95,1046839.00077492,1088869.7472056812,0.04015015336613178
17,Arterial Subtotal,,20909,67294563.29692465,109354017.39999636,0.6250052313660502
0,TOTAL,,23890,123105018.72545344,183251137.67630306,0.48857568581331684
