OBJECTID,subzone09,AREANAME,Shape_Length,Shape_Area
1,16692.000000000000000,IL,0.399676952328540,0.009815551283645
2,16691.000000000000000,IL,0.404732493962027,0.010022953728930
3,16690.000000000000000,IL,0.400967911745566,0.009833809010942
4,16689.000000000000000,IL,0.405458591451024,0.010029257977572
5,16803.000000000000000,WI,0.758652168761189,0.029196073839337
6,16802.000000000000000,WI,0.700848417039619,0.026427987455847
7,16814.000000000000000,WI,0.584057280088568,0.020492506068621
8,16815.000000000000000,WI,0.962551911584276,0.031295759774915
9,16816.000000000000000,WI,0.932858895390516,0.047275444736545
10,16801.000000000000000,WI,0.737839669180893,0.021310928269252
11,16787.000000000000000,WI,0.739626428329744,0.026405285535402
12,16786.000000000000000,WI,0.622783293751009,0.017891075280176
13,16817.000000000000000,WI,0.704985448472249,0.025415749489041
14,16609.000000000000000,IL,0.408504027748993,0.010201912981641
15,16610.000000000000000,IL,0.397871926380443,0.009707302705088
16,16611.000000000000000,IL,0.402099622160474,0.009923924294112
17,16612.000000000000000,IL,0.399468489290428,0.009721940507220
18,16618.000000000000000,IL,0.402028011258601,0.009928632321773
19,16614.000000000000000,IL,0.323383768842144,0.003980059569297
20,16613.000000000000000,IL,0.399941608563303,0.009836016652157
21,16615.000000000000000,IL,0.243750812665302,0.003396780397423
22,16616.000000000000000,IL,0.087976011897288,0.000466719687803
23,16617.000000000000000,IL,0.191324964928410,0.002109180806427
24,16621.000000000000000,IL,0.401080178868364,0.009867196237305
25,16620.000000000000000,IL,0.401445088335196,0.009898176116038
26,16619.000000000000000,IL,0.401012240247942,0.009897301983468
27,16624.000000000000000,IL,0.401016160532275,0.009844019068941
28,16623.000000000000000,IL,0.401746343531488,0.009890595710074
29,16622.000000000000000,IL,0.400617995056156,0.009870901402147
30,16777.000000000000000,IN,0.847974537760576,0.021932331316983
31,16774.000000000000000,IN,0.256583512206388,0.003040038928197
32,16782.000000000000000,IN,0.618943379637936,0.012155555182756
33,16773.000000000000000,IN,0.222299767973532,0.001178781519667
34,16770.000000000000000,IN,1.034790766569682,0.036579474336180
35,16775.000000000000000,IN,0.168071565659475,0.001086078614927
36,16627.000000000000000,IL,0.397286321539570,0.009753331241281
37,16625.000000000000000,IL,0.417998637274053,0.010599592117735
38,16626.000000000000000,IL,0.386174793294089,0.009229202584677
39,16776.000000000000000,IN,0.298737275755101,0.003125884499561
40,16758.000000000000000,IN,0.646386574255576,0.010101632456115
41,16780.000000000000000,IN,0.350171071253570,0.003475408363446
42,16783.000000000000000,IN,1.180348396125064,0.048483348511549
43,16778.000000000000000,IN,0.666749954133987,0.018936833190402
44,16759.000000000000000,IN,0.333462314342764,0.003518242110520
45,16781.000000000000000,IN,0.232912809662383,0.001768183367003
46,16779.000000000000000,IN,0.185075968271849,0.001109646063963
47,16761.000000000000000,IN,0.170184874020740,0.001359389007762
48,16763.000000000000000,IN,0.371169953459774,0.007532364916066
49,16760.000000000000000,IN,0.118547443305424,0.000736944625536
50,16762.000000000000000,IN,0.173252318206516,0.001472608939827
51,16764.000000000000000,IN,0.222868977408581,0.002520786679901
52,16765.000000000000000,IN,0.116423853187702,0.000839820644119
53,16784.000000000000000,IN,1.024970950124736,0.052419240103571
54,16767.000000000000000,IN,0.456001569635104,0.004934890414983
55,16766.000000000000000,IN,0.366129786993602,0.008369567173887
56,16769.000000000000000,IN,0.222034540137065,0.001253873420040
57,16768.000000000000000,IN,0.241044673472796,0.001701946208806
58,16771.000000000000000,IN,0.483296859938229,0.012619848483303
59,16757.000000000000000,IN,0.692021217847625,0.022566673442441
60,16756.000000000000000,IN,0.760383824953373,0.018744814553547
61,16772.000000000000000,IN,0.826752409791406,0.025881027154469
62,16755.000000000000000,IN,0.622978751447968,0.018073350757035
63,16631.000000000000000,IL,0.452745639139105,0.012228003846239
64,16630.000000000000000,IL,0.410644215830872,0.010350264481367
65,16629.000000000000000,IL,0.407878392874357,0.010223302009797
66,16628.000000000000000,IL,0.408071939268567,0.010192171244139
67,16595.000000000000000,IL,0.405276083803604,0.010070427324883
68,16594.000000000000000,IL,0.400720199467120,0.009873226397415
69,16593.000000000000000,IL,0.402114972155107,0.009896923494276
70,16643.000000000000000,IL,0.447051742743223,0.011913438446152
71,16642.000000000000000,IL,0.497357444122178,0.011168174098105
72,16636.000000000000000,IL,0.340422926774741,0.005922975945804
73,16635.000000000000000,IL,0.318261655654266,0.004439300341359
74,16634.000000000000000,IL,0.487551007301827,0.011483545971829
75,16598.000000000000000,IL,0.405681537631957,0.010089388403824
76,16597.000000000000000,IL,0.402772276923878,0.009946942656018
77,16596.000000000000000,IL,0.403773465579760,0.009998393513940
78,16637.000000000000000,IL,0.151994577803406,0.000674153830704
79,16638.000000000000000,IL,0.142712893342207,0.000793939494307
80,16647.000000000000000,IL,0.571287244404024,0.010574457206440
81,16641.000000000000000,IL,0.235261087378660,0.001380840776347
82,16639.000000000000000,IL,0.129837139842942,0.000668496394996
83,16640.000000000000000,IL,0.265457731673981,0.003069434088506
84,16649.000000000000000,IL,0.484333349718404,0.014567284775513
85,16648.000000000000000,IL,0.377415605224727,0.008406324426787
86,16646.000000000000000,IL,0.597603458266529,0.013431435653059
87,16701.000000000000000,IL,0.399691950806455,0.009341667917517
88,16709.000000000000000,IL,1.749274647787919,0.080789971970001
89,16710.000000000000000,IL,0.384736931766609,0.004723719612402
90,16705.000000000000000,IL,0.371375106928213,0.004888169153185
91,16704.000000000000000,IL,0.289690529318554,0.005016334225122
92,16700.000000000000000,IL,1.438085174182106,0.069953911719527
93,16699.000000000000000,IL,0.406785333770552,0.010069975468819
94,16702.000000000000000,IL,0.843462508546685,0.029289898808579
95,16703.000000000000000,IL,1.170478548807451,0.044648400420604
96,16708.000000000000000,IL,0.751472514094772,0.030128925558397
97,16707.000000000000000,IL,0.343349234188865,0.005864269664434
