origAreaName,destAreaName,WGTP
DuPage,DuPage,210994621.09068564
DuPage,IL,1950415.7996079507
DuPage,IN,16446.003285600007
DuPage,Kane,11970511.197762273
DuPage,Kendall,13418737.900853347
DuPage,LOOP,484980.17414592014
DuPage,Lake,2603908.002542748
DuPage,McHenry,1458277.6935647856
DuPage,North Chicago,1550650.4432125136
DuPage,North Cook,2823733.3748762906
DuPage,South Chicago,859204.7060779943
DuPage,South Cook,1709376.8605860728
DuPage,West Chicago,722783.1652996786
DuPage,West Cook,9315853.237258673
DuPage,Will,20434466.005332757
IL,DuPage,2203130.453406362
IL,IL,517425607.64551985
IL,IN,0.0
IL,Kane,76937.50615680027
IL,Kendall,2179196.9362862958
IL,LOOP,49087.63806759988
IL,Lake,3425.679936
IL,McHenry,11417.10419879999
IL,North Chicago,1640.1110361000003
IL,North Cook,1296.733956
IL,South Chicago,181.9309619
IL,South Cook,2801903.823796231
IL,West Chicago,1348.5241916
IL,West Cook,926603.2084523358
IL,Will,36984754.73243863
IN,DuPage,10302.667904799999
IN,IL,0.0
IN,IN,21894.575518699996
IN,Kane,3104.328764399999
IN,LOOP,1487.5006837
IN,Lake,11963.69440159999
IN,North Chicago,6688.7310572
IN,North Cook,1689.0773995999998
IN,South Chicago,63817.65538652001
IN,South Cook,277129.08060246
IN,West Chicago,3423.908116
IN,West Cook,23272.236510000002
IN,Will,112238.56173080001
Kane,DuPage,12374187.638807986
Kane,IL,2742216.156511434
Kane,IN,1413.4446315999999
Kane,Kane,198325302.78772634
Kane,Kendall,13205742.475267865
Kane,LOOP,131848.37691387977
Kane,Lake,2222192.1692897356
Kane,McHenry,19378163.338758953
Kane,North Chicago,359651.8412504006
Kane,North Cook,1928373.3514956853
Kane,South Chicago,184643.34999007973
Kane,South Cook,414080.1805679974
Kane,West Chicago,158015.6646075195
Kane,West Cook,5325560.360354984
Kane,Will,3868116.5200810526
Kendall,DuPage,13932472.438481018
Kendall,IL,15131368.575913852
Kendall,Kane,12126305.050670976
Kendall,Kendall,362552609.3000335
Kendall,LOOP,144444.44477529993
Kendall,McHenry,783850.0133375867
Kendall,North Chicago,215612.66937076108
Kendall,North Cook,35848.92599999996
Kendall,South Chicago,207350.19546259736
Kendall,South Cook,106587.44058299955
Kendall,West Chicago,313206.957267198
Kendall,West Cook,360095.8868747943
Kendall,Will,25964089.674562782
LOOP,DuPage,461744.8674915209
LOOP,IL,473.1918850999999
LOOP,IN,2144.6626118
LOOP,Kane,137809.48484844028
LOOP,Kendall,185105.1733263005
LOOP,LOOP,455896.78608668025
LOOP,Lake,464137.42845992435
LOOP,McHenry,117468.32727440038
LOOP,North Chicago,963524.5052961801
LOOP,North Cook,348893.4492061811
LOOP,South Chicago,658997.6733608603
LOOP,South Cook,373294.6945687985
LOOP,West Chicago,298785.9029151897
LOOP,West Cook,307471.384880861
LOOP,Will,476264.95452631905
Lake,DuPage,3165048.8772317404
Lake,IL,6851.359872
Lake,IN,2958.359396799999
Lake,Kane,1284328.0865900386
Lake,Kendall,7429.628689200004
Lake,LOOP,498310.66089710576
Lake,Lake,385372100.0583601
Lake,McHenry,15194627.05247841
Lake,North Chicago,1411410.7962326144
Lake,North Cook,14210224.175646748
Lake,South Chicago,236736.5931029211
Lake,South Cook,595873.4815452193
Lake,West Chicago,260199.41718203956
Lake,West Cook,2436485.8309608493
Lake,Will,568290.498078405
McHenry,DuPage,1194144.3926825514
McHenry,IL,11417.10419879999
McHenry,Kane,19795459.71871565
McHenry,Kendall,783850.0133375867
McHenry,LOOP,115730.66899720045
McHenry,Lake,16736748.350339008
McHenry,McHenry,333501035.0417535
McHenry,North Chicago,1120419.8433404022
McHenry,North Cook,4515837.592263913
McHenry,South Chicago,219954.08741599883
McHenry,South Cook,175552.2684943997
McHenry,West Chicago,471754.10667679546
McHenry,West Cook,3050000.3608192634
McHenry,Will,820337.70890238
North Chicago,DuPage,1487275.7013993575
North Chicago,IL,1640.1110361000003
North Chicago,IN,8132.048030499998
North Chicago,Kane,453065.11046117125
North Chicago,Kendall,71484.66756336
North Chicago,LOOP,943915.2398247188
North Chicago,Lake,1675909.5687255263
North Chicago,McHenry,1105521.5347608076
North Chicago,North Chicago,38390075.91002067
North Chicago,North Cook,6391215.352292033
North Chicago,South Chicago,2332077.0111914957
North Chicago,South Cook,707344.097366028
North Chicago,West Chicago,4952029.7285334375
North Chicago,West Cook,2644542.3381646504
North Chicago,Will,1360960.0898985458
North Cook,DuPage,2926946.3877705373
North Cook,IL,1991.523396
North Cook,IN,1402.0862247000002
North Cook,Kane,2187837.086024173
North Cook,LOOP,361099.37792485254
North Cook,Lake,14251531.90834724
North Cook,McHenry,4839750.527581104
North Cook,North Chicago,6137641.501110014
North Cook,North Cook,70983772.09490645
North Cook,South Chicago,448200.03879152256
North Cook,South Cook,1052477.5735273024
North Cook,West Chicago,491746.92548078
North Cook,West Cook,6263266.578627482
North Cook,Will,1211398.4992546283
South Chicago,DuPage,714627.7544303959
South Chicago,IL,1530.4551535
South Chicago,IN,59477.45273329999
South Chicago,Kane,157041.2080911996
South Chicago,Kendall,207350.19546259736
South Chicago,LOOP,616994.4749222685
South Chicago,Lake,272186.9161365995
South Chicago,McHenry,333162.7052639993
South Chicago,North Chicago,2280647.9305176367
South Chicago,North Cook,474771.39421260316
South Chicago,South Chicago,35502155.72917142
South Chicago,South Cook,5625399.927176961
South Chicago,West Chicago,3154992.0890486846
South Chicago,West Cook,949340.701422445
South Chicago,Will,1598821.9234376033
South Cook,DuPage,1732832.6342564549
South Cook,IL,2802631.5476438305
South Cook,IN,187980.52445838047
South Cook,Kane,106540.84265120036
South Cook,Kendall,204437.26730940188
South Cook,LOOP,382696.3387616985
South Cook,Lake,431033.4950824095
South Cook,McHenry,5074.268532799999
South Cook,North Chicago,743749.6223442244
South Cook,North Cook,1148940.955780544
South Cook,South Chicago,5968623.891276135
South Cook,South Cook,139298108.23513696
South Cook,West Chicago,1653927.1309382287
South Cook,West Cook,5706990.613485389
South Cook,Will,19407256.290709823
West Chicago,DuPage,773078.4736328872
West Chicago,IN,2736.4505024000005
West Chicago,Kane,109944.96135271969
West Chicago,LOOP,303343.99877361936
West Chicago,Lake,233684.27556071954
West Chicago,McHenry,270027.57678719953
West Chicago,North Chicago,5187599.50136098
West Chicago,North Cook,545707.4547405995
West Chicago,South Chicago,3070668.579278326
West Chicago,South Cook,1556877.1553225827
West Chicago,West Chicago,13059377.498258648
West Chicago,West Cook,2823599.1727275555
West Chicago,Will,1181325.5115272175
West Cook,DuPage,9278667.045045657
West Cook,IL,923235.074795136
West Cook,IN,22222.4856307
West Cook,Kane,4220819.568931614
West Cook,Kendall,245155.7655692018
West Cook,LOOP,286102.5425142414
West Cook,Lake,1931509.4071322326
West Cook,McHenry,2875137.477237339
West Cook,North Chicago,2825231.7706573005
West Cook,North Cook,6218398.525053207
West Cook,South Chicago,779427.5067757872
West Cook,South Cook,6312958.712047573
West Cook,West Chicago,2906548.109566538
West Cook,West Cook,64538775.907382324
West Cook,Will,3392946.21925828
Will,DuPage,21317226.330689162
Will,IL,35291482.11677054
Will,IN,115693.84275080002
Will,Kane,4590497.02766178
Will,Kendall,27171802.37187677
Will,LOOP,534001.0128243207
Will,Lake,1096168.8955680106
Will,McHenry,610388.066969588
Will,North Chicago,1178722.0218722506
Will,North Cook,958695.5061206388
Will,South Chicago,1146255.3525168162
Will,South Cook,19356864.193631254
Will,West Chicago,800340.8601064191
Will,West Cook,3551544.3866271563
Will,Will,397881050.18735605
