origAreaName,destAreaName,WGTP
DuPage,DuPage,403007.2526874696
DuPage,IL,843.2015928
DuPage,IN,590.337036
DuPage,Kane,48903.10576987001
DuPage,Kendall,8631.3173313
DuPage,LOOP,51117.01714950001
DuPage,Lake,13726.097415070002
DuPage,McHenry,2375.0896046000003
DuPage,North Chicago,20798.33091238
DuPage,North Cook,50332.52106967
DuPage,South Chicago,6634.602824999999
DuPage,South Cook,14271.973527299997
DuPage,West Chicago,15618.023224000002
DuPage,West Cook,73149.14182877996
DuPage,Will,50512.455617469954
IL,DuPage,1049.5801675
IL,IL,21107.130175519986
IL,IN,0.0
IL,Kendall,248.950875
IL,McHenry,317.1417833
IL,South Cook,181.9309619
IL,West Cook,540.2652138
IL,Will,6707.455694819999
IN,DuPage,412.7571494
IN,IL,0.0
IN,IN,1621.5411992999998
IN,Kane,353.36115789999997
IN,LOOP,379.1883393
IN,Lake,0.0
IN,North Chicago,633.4628428999999
IN,North Cook,109.68517959999998
IN,South Chicago,2074.7997665000003
IN,South Cook,8164.328504099999
IN,West Chicago,0.0
IN,West Cook,120.8063327
IN,Will,1006.9981473
Kane,DuPage,56232.11574330999
Kane,IN,0.0
Kane,Kane,155456.57644740937
Kane,Kendall,3692.8170831200005
Kane,LOOP,6942.990082839999
Kane,Lake,7183.200010119999
Kane,McHenry,12318.593960020004
Kane,North Chicago,5183.982122
Kane,North Cook,16590.705588699995
Kane,South Cook,2621.1742072999996
Kane,West Chicago,1296.0603609700001
Kane,West Cook,10644.210165529998
Kane,Will,8717.6812806
Kendall,DuPage,8713.820011300002
Kendall,IL,248.950875
Kendall,Kane,2031.1178666799997
Kendall,Kendall,6156.946190200002
Kendall,LOOP,1163.7908987
Kendall,North Chicago,1162.6803061599999
Kendall,North Cook,248.950875
Kendall,South Chicago,579.11302
Kendall,South Cook,307.8369462
Kendall,West Cook,264.0479752
Kendall,Will,2331.8116147
LOOP,DuPage,45170.031886480014
LOOP,IN,526.0338178
LOOP,Kane,7657.382407859999
LOOP,Kendall,1686.8856988000002
LOOP,LOOP,149521.1550597699
LOOP,Lake,23900.123986229984
LOOP,McHenry,4107.4260328
LOOP,North Chicago,117662.31607502014
LOOP,North Cook,39006.13187907996
LOOP,South Chicago,59737.1573082
LOOP,South Cook,34523.37279290001
LOOP,West Chicago,35276.41530067001
LOOP,West Cook,31838.465673329985
LOOP,Will,16230.115275719996
Lake,DuPage,15399.186283040002
Lake,IN,0.0
Lake,Kane,7217.9672036599995
Lake,Kendall,206.3785747
Lake,LOOP,28960.14452952999
Lake,Lake,353365.90731411194
Lake,McHenry,18748.40063966
Lake,North Chicago,13234.858356769999
Lake,North Cook,71099.90556231998
Lake,South Chicago,1868.0350725
Lake,South Cook,1909.6614710000001
Lake,West Chicago,1021.11200062
Lake,West Cook,6965.172730499999
Lake,Will,1448.2153300999998
McHenry,DuPage,1999.3105616399998
McHenry,Kane,12548.355281999999
McHenry,LOOP,3845.0182929
McHenry,Lake,21750.269915049998
McHenry,McHenry,142280.56525331008
McHenry,North Chicago,3898.1532835999997
